name,smiles,max_phase,atc,disease
ISOCARBOXAZID,Cc1cc(C(=O)NNCc2ccccc2)no1,4.0,N06AF01,Depression
ARMODAFINIL,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,4.0,N06BA13,Cognition/ADHD
LEVOBUPIVACAINE,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,4.0,N01BB10,CNS (other)
METHAMPHETAMINE,CN[C@@H](C)Cc1ccccc1,4.0,N06BA03,Cognition/ADHD
BENZTROPINE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,4.0,N04AC01,Parkinson's
PROPIOMAZINE,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,4.0,N05CM06,CNS (other)
DYCLONINE,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,4.0,N01BX02;R02AD04,CNS (other)
LISDEXAMFETAMINE,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,4.0,N06BA12,Cognition/ADHD
ACAMPROSATE,CC(=O)NCCCS(=O)(=O)O,4.0,N07BB03,Other CNS
TRICLOFOS,O=P(O)(O)OCC(Cl)(Cl)Cl,4.0,N05CM07,CNS (other)
LITHIUM,[Li],3.0,N05AN01,Psychosis
FOSPHENYTOIN,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,4.0,N03AB05,Epilepsy
METHIXENE,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,4.0,N04AA03,Parkinson's
ANILERIDINE,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,4.0,N01AH05,CNS (other)
RUFINAMIDE,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,4.0,N03AF03,Epilepsy
TAPENTADOL,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,4.0,N02AX06,CNS (other)
PROPOXYPHENE,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,4.0,N02AC04,CNS (other)
PINAZEPAM,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.0,N05BA14,Anxiety
ETHYL LOFLAZEPATE,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,2.0,N05BA18,Anxiety
PERAMPANEL,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,4.0,N03AX22,Epilepsy
CITICOLINE,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,3.0,N06BX06,Cognition/ADHD
NITROUS OXIDE,[N-]=[N+]=O,4.0,N01AX13;N01AX63,CNS (other)
XENON,[Xe],4.0,N01AX15;V04CX12,CNS (other)
LURASIDONE,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,4.0,N05AE05,Psychosis
TRAMADOL,COc1cccc(C2(O)CCCCC2CN(C)C)c1,4.0,N02AX02,CNS (other)
NIALAMIDE,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,4.0,N06AF02,Depression
TIANEPTINE,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,3.0,N06AX14,Depression
ETIZOLAM,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,2.0,N05BA19,Anxiety
MELEVODOPA,COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1,2.0,N04BA04,Parkinson's
DIMETACRINE,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,2.0,N06AA18,Depression
PIRIBEDIL,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,3.0,N04BC08,Parkinson's
PARALDEHYDE,CC1OC(C)OC(C)O1,4.0,N05CC05,CNS (other)
NIFENAZONE,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,2.0,M02AA24;N02BB05,CNS (other)
DIBENZEPIN,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,4.0,N06AA08,Depression
DIPYROCETYL,CC(=O)Oc1cccc(C(=O)O)c1OC(C)=O,2.0,N02BA09;N02BA59;N02BA79,CNS (other)
ETHENZAMIDE,CCOc1ccccc1C(N)=O,2.0,N02BA07;N02BA57;N02BA77,CNS (other)
DOTHIEPIN,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,4.0,N06AA16,Depression
XALIPRODEN,FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,3.0,N07XX03,Other CNS
BROMISOVALUM,CC(C)C(Br)C(=O)NC(N)=O,4.0,N05CM03,CNS (other)
BENTAZEPAM,O=C1CN=C(c2ccccc2)c2c(sc3c2CCCC3)N1,2.0,N05BA24,Anxiety
MELPERONE,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.0,N05AD03,Psychosis
GANAXOLONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,4.0,N03AX27,Epilepsy
IMIPRAMINOXIDE,C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,2.0,N06AA03,Depression
DOXEPIN,CN(C)CCC=C1c2ccccc2COc2ccccc21,4.0,D04AX01;N06AA12,Depression
TIRILAZAD,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,3.0,N07XX01,Other CNS
ACETYLCARNITINE,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,3.0,N06BX12,Cognition/ADHD
CLOTIAZEPAM,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,4.0,N05BA21,Anxiety
PERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,3.0,N05AB10,Psychosis
BUTAPERAZINE,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,2.0,N05AB09,Psychosis
CARBROMAL,CCC(Br)(CC)C(=O)NC(N)=O,2.0,N05CM04,CNS (other)
THIOPROPAZATE,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.0,N05AB05,Psychosis
BUCETIN,CCOc1ccc(NC(=O)CC(C)O)cc1,4.0,N02BE04;N02BE54;N02BE74,CNS (other)
PYRITHYLDIONE,CCC1(CC)C(=O)C=CNC1=O,2.0,N05CE03,CNS (other)
ETOPERIDONE,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,2.0,N06AB09,Depression
MEXAZOLAM,CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,2.0,N05BA25,Anxiety
PROPACETAMOL,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,2.0,N02BE05,CNS (other)
PIVAGABINE,CC(C)(C)C(=O)NCCCC(=O)O,2.0,N06AX15,Depression
ACETYLLEUCINE,CC(=O)NC(CC(C)C)C(=O)O,2.0,N07CA04,Other CNS
DEXETIMIDE,O=C1CC[C@@](c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,2.0,N04AA08,Parkinson's
STIRIPENTOL,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,4.0,N03AX17,Epilepsy
CARIPRAZINE,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,4.0,N05AX15,Psychosis
CARISBAMATE,NC(=O)OC[C@@H](O)c1ccccc1Cl,3.0,N03AX19,Epilepsy
TASIMELTEON,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,4.0,N05CH03,CNS (other)
TAFAMIDIS,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,4.0,N07XX08,Other CNS
ONDELOPRAN,NC(=O)c1ccc(Oc2ccc(CNCCC3CCOCC3)cc2F)nc1,2.0,N07BB06,Other CNS
CHOLINE SALICYLATE,C[N+](C)(C)CCO.O=C([O-])c1ccccc1O,4.0,N02BA03,CNS (other)
CHLORHEXADOL,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,2.0,N05CC02,CNS (other)
BEZITRAMIDE,CCC(=O)n1c(=O)n(C2CCN(CCC(C#N)(c3ccccc3)c3ccccc3)CC2)c2ccccc21,2.0,N02AC05,CNS (other)
CYAMEMAZINE,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,2.0,N05AA06,Psychosis
EMYLCAMATE,CCC(C)(CC)OC(N)=O,2.0,N05BC03,Anxiety
BUTANILICAINE,CCCCNCC(=O)Nc1c(C)cccc1Cl,2.0,N01BB05,CNS (other)
ETHYBENZTROPINE,CCN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,2.0,N04AC30,Parkinson's
HEXAPROPYMATE,C#CCC1(OC(N)=O)CCCCC1,2.0,N05CM10,CNS (other)
KETAZOLAM,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,4.0,N05BA10,Anxiety
MOPERONE,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,2.0,N05AD04,Psychosis
IMIDAZOLE SALICYLATE,O=C(O)c1ccccc1O.c1c[nH]cn1,2.0,N02BA16,CNS (other)
MEPHENOXALONE,COc1ccccc1OCC1CNC(=O)O1,2.0,N05BX01,Anxiety
PIRISUDANOL,Cc1ncc(COC(=O)CCC(=O)OCCN(C)C)c(CO)c1O,2.0,N06BX08,Cognition/ADHD
FENOZOLONE,CCNC1=NC(=O)C(c2ccccc2)O1,2.0,N06BA08,Cognition/ADHD
CINOLAZEPAM,N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,2.0,N05CD13,CNS (other)
FLUMEDROXONE,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C(F)(F)F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,2.0,N02CB01,CNS (other)
VIMINOL,CCC(C)N(CC(O)c1cccn1Cc1ccccc1Cl)C(C)CC,2.0,N02BG05,CNS (other)
VORTIOXETINE,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,4.0,N06AX26,Depression
FLOCTAFENINE,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,2.0,N02BG04,CNS (other)
GEDOCARNIL,COCc1c(C(=O)OC(C)C)ncc2[nH]c3cccc(Oc4ccc(Cl)cc4)c3c12,2.0,N05BX02,Anxiety
GUACETISAL,COc1ccccc1OC(=O)c1ccccc1OC(C)=O,2.0,N02BA14,CNS (other)
NIAPRAZINE,CC(CCN1CCN(c2ccc(F)cc2)CC1)NC(=O)c1cccnc1,2.0,N05CM16,CNS (other)
MAZATICOL,CN1[C@@H]2CCC(C)(C)[C@H]1C[C@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2,2.0,N04AA10,Parkinson's
PROXIBARBAL,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,4.0,N05CA22,CNS (other)
PROPANIDID,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,4.0,N01AX04,CNS (other)
PHENOPERIDINE,CCOC(=O)C1(c2ccccc2)CCN(CCC(O)c2ccccc2)CC1,2.0,N01AH04,CNS (other)
VINYLBITAL,C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,2.0,N05CA08,CNS (other)
VERALIPRIDE,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,4.0,N05AL06,Psychosis
BREXPIPRAZOLE,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,4.0,N05AX16,Psychosis
ETIFOXINE,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,3.0,N05BX03,Anxiety
PIPOTIAZINE PALMITATE,CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,4.0,N05AC04,Psychosis
MOSAPRAMINE,O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,2.0,N05AX10,Psychosis
NIZOFENONE,CCN(CC)Cc1nccn1-c1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,2.0,N06BX10,Cognition/ADHD
NICOMORPHINE,CN1CC[C@]23c4c5ccc(OC(=O)c6cccnc6)c4O[C@H]2[C@@H](OC(=O)c2cccnc2)C=C[C@H]3[C@H]1C5,2.0,N02AA04,CNS (other)
OXAFLOZANE,CC(C)N1CCOC(c2cccc(C(F)(F)F)c2)C1,2.0,N06AX10,Depression
OXYPERTINE,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC,4.0,N05AE01,Psychosis
PHENETURIDE,CCC(C(=O)NC(N)=O)c1ccccc1,2.0,N03AX13,Epilepsy
CLOXAZOLAM,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1,2.0,N05BA22,Anxiety
TROPATEPINE,CN1[C@@H]2CC[C@H]1C/C(=C1\c3ccccc3CSc3ccccc31)C2,2.0,N04AA12,Parkinson's
LOPRAZOLAM,CN1CCN(/C=C2\N=C3CN=C(c4ccccc4Cl)c4cc([N+](=O)[O-])ccc4N3C2=O)CC1,2.0,N05CD11,CNS (other)
ARIMOCLOMOL,[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,4.0,N07XX17,Other CNS
BENZOCTAMINE,CNCC12CCC(c3ccccc31)c1ccccc12,2.0,N05BD01,Anxiety
EMEPRONIUM,CC[N+](C)(C)C(C)CC(c1ccccc1)c1ccccc1,4.0,G04BD01;N05CX05,CNS (other)
CAPTODIAME,CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,2.0,N05BB02,Anxiety
BUTRIPTYLINE,CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,4.0,N06AA15,Depression
PIPRADROL,OC(c1ccccc1)(c1ccccc1)C1CCCCN1,2.0,N06BX15,Cognition/ADHD
PROTHIPENDYL,CN(C)CCCN1c2ccccc2Sc2cccnc21,4.0,N05AX07,Psychosis
PROLINTANE,CCCC(Cc1ccccc1)N1CCCC1,2.0,N06BX14,Cognition/ADHD
PIMAVANSERIN,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,4.0,N05AX17,Psychosis
FENETHYLLINE,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,2.0,N06BA10,Cognition/ADHD
RIMEGEPANT,N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F,4.0,N02CD06,CNS (other)
TILIDINE,CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,2.0,N02AX01,CNS (other)
UBROGEPANT,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,4.0,N02CD04,CNS (other)
VALBENAZINE,COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2,4.0,N07XX13,Other CNS
ZAVEGEPANT,Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12,4.0,N02CD08,CNS (other)
OLICERIDINE,COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,4.0,N02AX07,CNS (other)
LASMIDITAN,CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1,4.0,N02CC08,CNS (other)
DEUTETRABENAZINE,[2H]C([2H])([2H])Oc1cc2c(cc1OC([2H])([2H])[2H])C1CC(=O)C(CC(C)C)CN1CC2,4.0,N07XX16,Other CNS
ASENAPINE,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,4.0,N05AH05,Psychosis
CALCIUM CARBIMIDE,[Ca+2].[N-]=C=[N-],2.0,N07BB02,Other CNS
LUMATEPERONE,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,4.0,N05AD10,Psychosis
MIROGABALIN,CCC1=C[C@@H]2[C@H](C1)C[C@]2(CN)CC(=O)O,3.0,N02BF03,CNS (other)
LEMBOREXANT,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,4.0,N05CJ02,CNS (other)
FABOMOTIZOLE,CCOc1ccc2nc(SCCN3CCOCC3)[nH]c2c1,3.0,N05BX04,Anxiety
BARBEXACLONE,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O.CNC(C)CC1CCCCC1,4.0,N03AA04,Epilepsy
CARBASPIRIN CALCIUM,CC(=O)Oc1ccccc1C(=O)[O-].CC(=O)Oc1ccccc1C(=O)[O-].NC(N)=O.[Ca+2],2.0,B01AC08;N02BA15,CNS (other)
NABIXIMOLS,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O.CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,3.0,N02BG10,CNS (other)
DEANOL ACEGLUMATE,CC(=O)NC(CCC(=O)O)C(=O)O.CN(C)CCO,2.0,N06BX04,Cognition/ADHD
DEXTROMORAMIDE,C[C@@H](CC(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)N1CCOCC1,4.0,N02AC01,CNS (other)
OXETORONE,CN(C)CCC=C1c2ccccc2OCc2c1oc1ccccc21,2.0,N02CX06,CNS (other)
DIPYRONE,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+],4.0,N02BB02;N02BB52;N02BB72,CNS (other)
TRANYLCYPROMINE,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,4.0,N06AF04,Depression
CLOPENTHIXOL,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.0,N05AF02,Psychosis
CENOBAMATE,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,4.0,N03AX25,Epilepsy
ATOGEPANT,C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,4.0,N02CD07,CNS (other)
ZURANOLONE,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1,4.0,N06AX31,Depression
BORNAPRINE,CCN(CC)CCCOC(=O)C1(c2ccccc2)CC2CCC1C2,2.0,N04AA11,Parkinson's
IPRAZOCHROME,CC(C)N1CC(O)C2=CC(=NNC(N)=O)C(=O)C=C21,2.0,N02CX03,CNS (other)
REMIMAZOLAM,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,4.0,N05CD14,CNS (other)
TRORILUZOLE,CN(CC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1)C(=O)CNC(=O)CN,3.0,N07XX23,Other CNS
DARIDOREXANT,COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3c(C)c(Cl)ccc3[nH]2)c1,4.0,N05CJ03,CNS (other)
SOLRIAMFETOL,NC(=O)OC[C@H](N)Cc1ccccc1,4.0,N06BA14,Cognition/ADHD
OMAVELOXOLONE,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,4.0,N07XX25,Other CNS
ZICONOTIDE,CSCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC3=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,4.0,N02BG08,CNS (other)
