name,smiles,max_phase,atc,disease
PRAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,4.0,N05BA11,Anxiety
HALAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,4.0,N05BA13,Anxiety
SELEGILINE,C#CCN(C)[C@H](C)Cc1ccccc1,4.0,N04BD01,Parkinson's
DOXEFAZEPAM,O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,2.0,N05CD12,CNS (other)
MEPROBAMATE,CCCC(C)(COC(N)=O)COC(N)=O,4.0,N05BC01;N05BC51;N05CX01,Anxiety
BECLAMIDE,O=C(CCCl)NCc1ccccc1,2.0,N03AX30,Epilepsy
NALMEFENE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,4.0,N07BB05,Other CNS
LAQUINIMOD,CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,3.0,N07XX10,Other CNS
CLOTHIAPINE,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,2.0,N05AH06,Psychosis
VINPOCETINE,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,4.0,N06BX18,Cognition/ADHD
CLOBAZAM,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,4.0,N05BA09,Anxiety
REMIFENTANIL,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,4.0,N01AH06,CNS (other)
LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,4.0,N04BA01,Parkinson's
VILOXAZINE,CCOc1ccccc1OCC1CNCCO1,4.0,N06AX09,Depression
TIAGABINE,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,4.0,N03AG06,Epilepsy
ISTRADEFYLLINE,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,4.0,N04CX01,Parkinson's
TIAPRIDE,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,3.0,N05AL03,Psychosis
PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,4.0,N02BF02,CNS (other)
METHYSERGIDE,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,4.0,N02CA04,CNS (other)
OXCARBAZEPINE,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,4.0,N03AF02,Epilepsy
MOCLOBEMIDE,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,4.0,N06AG02,Depression
MEDIFOXAMINE,CN(C)CC(Oc1ccccc1)Oc1ccccc1,4.0,N06AX13,Depression
MEPTAZINOL,CCC1(c2cccc(O)c2)CCCCN(C)C1,4.0,N02AX05,CNS (other)
PROCYCLIDINE,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,4.0,N04AA04,Parkinson's
LOFEPRAMINE,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,4.0,N06AA07,Depression
FENFLURAMINE,CCNC(C)Cc1cccc(C(F)(F)F)c1,4.0,A08AA02;N03AX26,Epilepsy
CLOMETHIAZOLE,Cc1ncsc1CCCl,4.0,N05CM02;N05CX04,CNS (other)
ESLICARBAZEPINE,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,4.0,N03AF04,Epilepsy
VIGABATRIN,C=CC(N)CCC(=O)O,4.0,N03AG04,Epilepsy
ACETOPHENAZINE,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,4.0,N05AB07,Psychosis
DIBUCAINE,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.0,C05AD04;D04AB02;N01BB06;S01HA06;S02DA04,CNS (other)
MEPIVACAINE,Cc1cccc(C)c1NC(=O)C1CCCCN1C,4.0,N01BB03;N01BB53,CNS (other)
MESORIDAZINE,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,4.0,N05AC03,Psychosis
PHENELZINE,NNCCc1ccccc1,4.0,N06AF03,Depression
ARTICAINE,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,4.0,N01BB58;N01BB08,CNS (other)
