pmid,pmcid,doi,title,journal,year,open_access_fulltext,named_drugs,holding_potentials,potency_values_in_tables,score,retrieval
26038700,PMC4448990,10.1002/prp2.124,Eslicarbazepine acetate for the treatment of focal epilepsy: an update on its proposed mechanisms of action.,Pharmacol Res Perspect,2015,True,"carbamazepine, eslicarbazepine, lacosamide, lamotrigine, oxcarbazepine, phenytoin, valproate",,0,14,read here
30308978,PMC6215091,10.3390/toxins10100408,"Purification and Characterization of JZTx-14, a Potent Antagonist of Mammalian and Prokaryotic Voltage-Gated Sodium Channels.",Toxins (Basel),2018,True,"lidocaine, ranolazine, tetrodotoxin",,8,14,read here
41376506,PMC12873747,10.17305/bb.2025.13405,Second-generation antipsychotics - Cardiac ion channel modulation and QT interval disturbances: A review.,Biomol Biomed,2025,True,,"-120, -100, -90, -75, -50, -40, -30, -10",12,13,read here
40090585,PMC12004706,10.1016/j.jbc.2025.108407,In vitro inhibition of voltage-dependent sodium currents by the antifungal drug amorolfine.,J Biol Chem,2025,True,"cannabidiol, flecainide, lidocaine, phenytoin, tetracaine, tetrodotoxin",,1,13,read here
39461335,PMC11604545,10.1016/j.xcrm.2024.101800,Intra-channel bi-epitopic crosslinking unleashes ultrapotent antibodies targeting Na&lt;sub&gt;V&lt;/sub&gt;1.7 for pain alleviation.,Cell Rep Med,2024,True,"lidocaine, mexiletine, pf-05089771",,7,13,read here
30984031,PMC6450223,10.3389/fphys.2019.00353,"""Pill-in-the-Pocket"" Treatment of Propafenone Unmasks ECG Brugada Pattern in an Atrial Fibrillation Patient With a Common SCN5A R1193Q Polymorphism.",Front Physiol,2019,True,"flecainide, lidocaine, mexiletine, propafenone, quinidine","-100, -15, -10",0,13,read here
35858452,PMC9335304,10.1073/pnas.2208211119,Structural basis for high-voltage activation and subtype-specific inhibition of human Na&lt;sub&gt;v&lt;/sub&gt;1.8.,Proc Natl Acad Sci U S A,2022,True,"quinidine, tetrodotoxin, vixotrigine",,7,13,read here
31765298,PMC6877086,10.7554/elife.48118,Novel charged sodium and calcium channel inhibitor active against neurogenic inflammation.,Elife,2019,True,"amitriptyline, bupivacaine, carbamazepine, lidocaine, pf-05089771, tetrodotoxin",,1,13,read here
30666203,PMC6330330,10.3389/fphar.2018.01510,Puerarin Relieves Paclitaxel-Induced Neuropathic Pain: The Role of Na<sub>v</sub>1.8 β1 Subunit of Sensory Neurons.,Front Pharmacol,2018,True,"amitriptyline, bupivacaine, lacosamide, lidocaine, tetrodotoxin","-120, -90, -80, -50, -40, -10",0,13,read here
32722255,PMC7435778,10.3390/molecules25153365,Bidirectional Modulation of the Voltage-Gated Sodium (Nav1.6) Channel by Rationally Designed Peptidomimetics.,Molecules,2020,True,"carbamazepine, lamotrigine, topiramate",,7,13,read here
27829006,PMC5102382,10.1371/journal.pone.0166143,Hyperthermia Influences the Effects of Sodium Channel Blocking Drugs in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes.,PLoS One,2016,True,"flecainide, lidocaine, quinidine, ranolazine, tetrodotoxin","-120, -100, -80, -45, -40, -35, -30, -10",0,13,read here
26068619,PMC4465899,10.1371/journal.pone.0128653,Comparison of Gating Properties and Use-Dependent Block of Nav1.5 and Nav1.7 Channels by Anti-Arrhythmics Mexiletine and Lidocaine.,PLoS One,2015,True,"flecainide, lidocaine, mexiletine, ranolazine, tetrodotoxin","-120, -80, -40, -35, -20",0,13,read here
26202396,PMC4894402,10.1038/srep12475,Characterization of the honeybee AmNaV1 channel and tools to assess the toxicity of insecticides.,Sci Rep,2015,True,"lidocaine, saxitoxin, tetrodotoxin",,7,13,read here
29348631,PMC5773578,10.1038/s41598-018-19412-z,Dynamic all-optical drug screening on cardiac voltage-gated ion channels.,Sci Rep,2018,True,"flecainide, lidocaine, quinidine, tetrodotoxin",,5,13,read here
39660576,PMC11632537,10.1111/cts.70098,An overview of drug-induced sodium channel blockade and changes in cardiac conduction: Implications for drug safety.,Clin Transl Sci,2024,True,"flecainide, lamotrigine, lidocaine, mexiletine, propafenone, quinidine",,0,12,read here
40000932,PMC11863801,10.1186/s10194-025-01968-7,Pregnenolone sulfate potentiates tetrodotoxin-resistant Na&lt;sup&gt;+&lt;/sup&gt; channels to increase the excitability of dural afferent neurons in rats.,J Headache Pain,2025,True,"amitriptyline, riluzole, tetrodotoxin",,6,12,read here
39382325,PMC11808707,10.1097/j.pain.0000000000003404,Analgesia and peripheral c-fiber modulation by selective Na v 1.8 inhibition in rhesus.,Pain,2025,True,"bupivacaine, lidocaine, tetrodotoxin",,6,12,read here
36297320,PMC9609666,10.3390/ph15101208,Epilepsy-Induced High Affinity Blockade of the Cardiac Sodium Current I<sub>Na</sub> by Lamotrigine; A Potential for Acquired Arrythmias.,Pharmaceuticals (Basel),2022,True,"carbamazepine, lamotrigine, lidocaine, phenytoin, tetrodotoxin, valproate",,0,12,read here
37369559,PMC10299896,10.1093/europace/euad154,Beneficial effects of chronic mexiletine treatment in a human model of SCN5A overlap syndrome.,Europace,2023,True,"flecainide, gs-458967, lidocaine, mexiletine, phenytoin, tetrodotoxin",,0,12,read here
36831014,PMC9953282,10.3390/biomedicines11020477,The Anti-Epileptic Drugs Lamotrigine and Valproic Acid Reduce the Cardiac Sodium Current.,Biomedicines,2023,True,"carbamazepine, flecainide, lamotrigine, phenytoin, riluzole, valproate",,0,12,read here
41150198,PMC12567881,10.3390/toxins17100497,Properties and Pharmacology of Scorpion Toxins and Their Biotechnological Potential in Agriculture and Medicine.,Toxins (Basel),2025,True,"lidocaine, tetrodotoxin",,8,12,read here
39195466,PMC11355921,10.3390/md22080350,Voltage-Gated K<sup>+</sup> Channel Modulation by Marine Toxins: Pharmacological Innovations and Therapeutic Opportunities.,Mar Drugs,2024,True,tetrodotoxin,,147,12,read here
21802953,PMC3314985,10.1016/j.nmd.2011.07.001,Searching for novel anti-myotonic agents: pharmacophore requirement for use-dependent block of skeletal muscle sodium channels by N-benzylated cyclic derivatives of tocainide.,Neuromuscul Disord,2012,True,"bupivacaine, lidocaine, mexiletine, ropivacaine",,4,12,read here
28610990,PMC5666337,10.1016/j.hrthm.2017.06.012,Atrial-ventricular differences in rabbit cardiac voltage-gated Na&lt;sup&gt;+&lt;/sup&gt; currents: Basis for atrial-selective block by ranolazine.,Heart Rhythm,2017,True,"flecainide, lidocaine, phenytoin, propafenone, ranolazine, tetrodotoxin",,0,12,read here
36612049,PMC9817685,10.3390/cancers15010046,Voltage-Gated Sodium Channel Na<sub>V</sub>1.5 Controls NHE-1-Dependent Invasive Properties in Colon Cancer Cells.,Cancers (Basel),2022,True,"phenytoin, ranolazine, ropivacaine, tetrodotoxin","-100, -20",1,12,read here
42193088,PMC13204247,10.3390/cimb48050483,Natural Products in Epilepsy Treatment: From Traditional Medicine Towards Computational Drug Discovery.,Curr Issues Mol Biol,2026,True,"cannabidiol, carbamazepine, lamotrigine, phenytoin, topiramate, valproate",,0,12,read here
33078946,PMC7667638,10.1021/acs.jmedchem.0c01107,Two for the Price of One: Heterobivalent Ligand Design Targeting Two Binding Sites on Voltage-Gated Sodium Channels Slows Ligand Dissociation and Enhances Potency.,J Med Chem,2020,True,tetrodotoxin,,13,12,read here
35148401,PMC9041548,10.1093/toxsci/kfac013,The Challenges of Predicting Drug-Induced QTc Prolongation in Humans.,Toxicol Sci,2022,True,"quinidine, ranolazine, saxitoxin",,6,12,read here
39853501,PMC11850491,10.1007/s40263-024-01155-3,Targeting Kv7 Potassium Channels for Epilepsy.,CNS Drugs,2025,True,"carbamazepine, lamotrigine, phenytoin",,6,12,read here
34925480,PMC8667759,10.1590/1678-9199-jvatitd-2021-0026,Pain-related toxins in scorpion and spider venoms: a face to face with ion channels.,J Venom Anim Toxins Incl Trop Dis,2021,True,tetrodotoxin,,27,12,read here
34025432,PMC8138577,10.3389/fphar.2021.675003,Effects of Antiarrhythmic Drugs on hERG Gating in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes From a Patient With Short QT Syndrome Type 1.,Front Pharmacol,2021,True,"flecainide, lidocaine, mexiletine, propafenone, quinidine, ranolazine",,0,12,read here
35681682,PMC9179511,10.3390/cancers14112703,Combinatorial Therapy of Cancer: Possible Advantages of Involving Modulators of Ionic Mechanisms.,Cancers (Basel),2022,True,"carbamazepine, lacosamide, lidocaine, ranolazine, ropivacaine",,2,12,read here
