inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
XWODZUXBCYDTMF-UHFFFAOYSA-N,O=C(C=Cc1ccc(Oc2cc(C=CC(=O)c3ccc(O)cc3O)ccc2O)cc1)c1ccc(O)cc1O,COCONUT,CNP0415899.0,coverage,True,510.5,5.799,144.52,5,8,8,4,0.0,0.148
LKFQSODZCVNSSG-IBGZPJMESA-N,CC(C)=CCc1c2c(c(O)c3c(=O)c(-c4ccc(O)cc4)coc13)C[C@@H](C(C)(C)O)O2,COCONUT,CNP0103484.2,coverage,True,422.48,4.454,100.13,3,6,4,3,0.32,0.537
MYJXWCIZOOKQLK-MUCJXJSVSA-N,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O[C@@H]1O[C@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,COCONUT,CNP0111058.1,coverage,True,578.52,-1.184,217.97,7,14,7,3,0.444,0.176
BDPWAJXXQWRYNV-HNNXBMFYSA-N,C=CC(C)(C)c1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2,COCONUT,CNP0158442.1,coverage,True,356.37,3.679,107.22,4,6,3,2,0.25,0.494
UEEBMAIKXXZTAU-UHFFFAOYSA-N,CC(C)=CCc1c(O)c(CC=C(C)C)c2oc(-c3ccc(O)cc3O)c(CC=C(C)C)c(=O)c2c1O,COCONUT,CNP0102629.0,coverage,True,490.6,6.809,111.13,4,6,7,3,0.3,0.271
GKOWEQNADRJYIA-OAHLLOKOSA-N,C=CC(C)(C)c1c(O)cc2c(c1O)C(=O)C[C@H](c1ccc(O)cc1)O2,COCONUT,CNP0246773.1,coverage,True,340.38,3.974,86.99,3,5,3,2,0.25,0.736
RFZUQQJZFOHGNF-UHFFFAOYSA-N,COc1cc(OC)c(-c2coc3cc(O)cc(O)c3c2=O)cc1O,COCONUT,CNP0115831.0,coverage,True,330.29,2.594,109.36,3,7,3,3,0.118,0.677
ABQFAJSGVWQVGF-HHHXNRCGSA-N,CC(C)=CCc1cc([C@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)cc(CC=C(C)C)c1O,COCONUT,CNP0317597.2,coverage,True,476.61,7.036,86.99,3,5,7,2,0.367,0.373
FAUBWJZFUIHBLR-QLAXGMPUSA-N,C=C(C)[C@@H](O)Cc1c(O)c(/C=C/C(C)C)c2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2,COCONUT,CNP0182748.1,coverage,True,440.49,4.364,127.45,5,7,6,2,0.32,0.333
NSDIRDXLZWLHAL-NSOVKSMOSA-N,O=C1c2c(O)c(Cc3ccc(O)cc3)c(O)c(Cc3ccc(O)cc3)c2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,COCONUT,CNP0244686.1,coverage,True,516.5,3.779,167.91,7,9,5,4,0.138,0.195
BIFYEBAZZKWGEE-XWWUPDIOSA-N,COc1c(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](C)[C@H](O)[C@H](O)[C@H]3O)cc(O)c2c1=O,COCONUT,CNP0405273.1,coverage,True,446.41,1.086,159.05,5,10,4,3,0.318,0.393
IZMNVBVTTBCDSK-VXKWHMMOSA-N,O=C1c2c(cc(O)c(Cc3ccc(O)cc3)c2O)O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,COCONUT,CNP0198804.1,coverage,True,410.38,2.483,147.68,6,8,3,3,0.136,0.361
DHYXVFFHVYUZJU-IQCVCLICSA-N,COc1cc(O)c([C@H](/C=C/C[C@@H](O)CCc2ccc(O)cc2)c2ccc(O)cc2)c(O)c1C(=O)/C=C/c1ccc(O)cc1,COCONUT,CNP0177199.2,coverage,True,582.65,6.191,147.68,6,8,12,4,0.171,0.066
SBHDSCOSOCSIRJ-GKOOULJZSA-N,COc1cc(O)c([C@@H](/C=C/CCC[C@@H](O)CCc2ccc(O)cc2)c2ccc(O)cc2)c2c1C(=O)C[C@@H](c1ccc(O)cc1)O2,COCONUT,CNP0257332.1,coverage,True,610.7,7.076,136.68,5,8,12,4,0.27,0.085
BRQLNEYSTDBILN-UHFFFAOYSA-N,COc1c(-c2ccc(C)cc2)oc2c(OC)c(O)cc(O)c2c1=O,COCONUT,CNP0415951.0,coverage,True,328.32,3.197,89.13,2,6,3,3,0.167,0.767
CCJBNIRSVUKABH-UHFFFAOYSA-N,COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(OC)c3c(=O)c2O)cc1OC,COCONUT,CNP0260020.0,coverage,True,418.4,3.217,105.82,1,9,7,3,0.286,0.619
XETHJOZXBVWLLM-AHSGRJSQSA-N,CC(C)=CC[C@@]12Oc3cc(O)c([C@H]4C=C(C)C[C@H](c5ccc(O)cc5O)[C@H]4C(=O)c4ccc(O)cc4O)c(O)c3C(=O)[C@@]1(O)Oc1cc(O)ccc12,COCONUT,CNP0188211.6,coverage,True,708.72,6.25,214.44,8,12,6,4,0.25,0.082
