inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
TZCPCKNHXULUIY-RGULYWFUSA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,DrugBank,DB00144,evaluation,False,792.09,11.51,171.68,3,9,42,0,0.929,0.031
DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,DrugBank,DB00145,evaluation,False,75.07,-0.97,63.32,2,2,1,0,0.5,0.421
JWUBBDSIWDLEOM-DTOXIADCSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,DrugBank,DB00146,evaluation,False,400.65,6.734,40.46,2,2,6,0,0.778,0.518
RADKZDMFGJYCBB-UHFFFAOYSA-N,Cc1ncc(CO)c(C=O)c1O,DrugBank,DB00147,evaluation,False,167.16,0.4,70.42,2,4,2,1,0.25,0.625
CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(=O)O)C(=N)N,DrugBank,DB00148,evaluation,False,131.13,-1.104,90.41,3,2,2,0,0.5,0.327
ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(=O)O,DrugBank,DB00149,evaluation,False,131.18,0.444,63.32,2,2,3,0,0.833,0.584
QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,DrugBank,DB00150,evaluation,False,204.23,1.122,79.11,3,2,3,2,0.182,0.701
XUJNEKJLAYXESH-REOHCLBHSA-N,N[C@@H](CS)C(=O)O,DrugBank,DB00151,evaluation,False,121.16,-0.672,63.32,3,3,2,0,0.667,0.424
JZRWCGZRTZMZEH-UHFFFAOYSA-N,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,DrugBank,DB00152,evaluation,False,265.36,0.608,75.91,2,5,4,2,0.417,0.794
MECHNRXZTMCUDQ-RKHKHRCZSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,DrugBank,DB00153,evaluation,False,396.66,7.641,20.23,1,1,5,0,0.714,0.473
