compound,smiles,section,endpoint,description,value,unit,context,role_in_the_example
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,PDE10A,PDE10A,0.0007,calibrated probability,reporting threshold 0.872; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,PDE4B,PDE4B,0.0034,calibrated probability,reporting threshold 0.347; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,RIPK1,RIPK1,0.0042,calibrated probability,reporting threshold 0.050; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,SERT,SERT,0.0038,calibrated probability,reporting threshold 0.744; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,SIRT1,SIRT1,0.1286,calibrated probability,reporting threshold 0.469; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,Sigma1,Sigma-1,0.0034,calibrated probability,reporting threshold 0.953; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,TAAR1,TAAR1,0.4463,calibrated probability,reporting threshold 0.831; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,a3b4nAChR,alpha3beta4-nAChR,0.0214,calibrated probability,reporting threshold 0.279; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,a4b2nAChR,alpha4beta2-nAChR,0.0148,calibrated probability,reporting threshold 0.782; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,a7nAChR,alpha7-nAChR,0.0105,calibrated probability,reporting threshold 0.502; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,mGluR5,mGluR5,0.0059,calibrated probability,reporting threshold 0.870; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Binder panel,mTOR,mTOR,0.0024,calibrated probability,reporting threshold 0.219; below threshold,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Neuroprotection,antioxidant,Antioxidant capacity (DPPH),4.195,model units,signal 0.000 on the 0 to 1 scale used by the disease layer,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,kpuu,"Unbound brain/plasma (Kp,uu)",0.2972,ratio,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,logbb,"Brain penetration (logBB, total)",-0.4327,log ratio,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,caco2_permeability,Passive permeability (Caco-2),-5.2275,log Papp cm/s,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,pgp_substrate,P-gp substrate (efflux),0.5764,probability,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,pgp_inhibition,P-gp inhibition,0.4447,probability,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,solubility,Aqueous solubility (logS),-5.5773,log mol/L,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,lipophilicity,Lipophilicity (logD),2.9974,logD,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,plasma_protein_binding,Plasma-protein binding,89.2375,% bound,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,ADME and exposure,clearance_hepatocyte,Hepatocyte clearance,49.4568,uL/min/1e6,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,mw,mw,430.629,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,clogp,clogp,4.7308,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,tpsa,tpsa,66.76,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,hbd,hbd,2.0,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,hba,hba,4.0,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,rotatable_bonds,rotatable_bonds,2.0,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,aromatic_rings,aromatic_rings,0.0,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,fraction_csp3,fraction_csp3,0.8889,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,ring_count,ring_count,5.0,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,heavy_atoms,heavy_atoms,31.0,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,formal_charge,formal_charge,0.0,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Physicochemical descriptors,qed,qed,0.4909,,,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Alzheimer's disease,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Parkinson's disease,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Amyotrophic lateral sclerosis,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Huntington's disease,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Depression / anxiety,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Psychosis / schizophrenia,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Cognition (cholinergic),BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Addiction,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,ADHD,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Chronic pain,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Sleep / wakefulness,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Epilepsy,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Migraine,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Multiple sclerosis,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Neuroinflammation,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease relevance,Neuroprotection / oxidative stress,BBB-gated mechanism score,0.0,0 to 1,no modelled mechanism engaged,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,CNS likeness,CNS_MPO,CNS multiparameter optimisation score,3.59,of 6,cLogP 0.13; cLogD (predicted) 0.50; MW 0.50; TPSA 1.00; HBD 0.50; most basic pKa (predicted) 0.96,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Mechanism independence,n_targets_engaged,Targets with an engagement signal of at least 0.06,0.0,count,no two engaged targets are homologous,"steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Mechanism independence,n_independent_mechanisms,Distinct homology families among engaged targets,0.0,count,"homologues are engaged together by the same ligands, so a raw target count overstates the evidence; see inversion/results/H8_family_correlation.csv","steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Applicability domain,max_tanimoto,Similarity to nearest measured training compound,0.4324,Tanimoto,"Near domain; nearest analogue CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C; measured recall for compounds at this distance 0.55 (n=5,228), so a silent endpoint here is moderate evidence of inactivity","steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Expected sensitivity at this distance,expected_recall,Measured recall of the panel on compounds this far from its training chemistry,0.5532,fraction,"prospective validation, results/tables/external_novelty_strata.csv; recall is a function of chemical distance rather than of publication date","steroidal natural product, outside the covered chemistry"
withanolide A,CC1C(C)C(=O)OC1C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3C(O)CC12C,Disease layer,top_disease,highest-ranked condition after exposure gating,0.0,score,nothing cleared the reporting threshold,"steroidal natural product, outside the covered chemistry"
