split,r2,rmse,mae,spearman
random 10-fold,0.5919090184507261,1.4168198719777978,0.9387480862724012,0.7838607855029054
scaffold 10-fold,0.45604810562329656,1.6357479611294832,1.1742875846808993,0.6837029745754847
temporal (test after 2015),0.11830300327169418,2.060815607863359,1.6132541084537604,0.33977216904355495
