endpoint,mode,status,cutoff_year,n_actives_total,n_measured_inactives_total,time_n_train_actives,time_n_train_decoys,time_n_train_measured_inactives,time_n_test_actives,time_n_test_measured_inactives,time_auroc_vs_measured_inactives,time_auroc_vs_background,time_threshold,time_threshold_basis,time_sensitivity,time_fpr_measured_inactives,time_fpr_background,time_median_test_novelty,time_test_actives_below_tanimoto_0.4,random_n_train_actives,random_n_train_decoys,random_n_train_measured_inactives,random_n_test_actives,random_n_test_measured_inactives,random_auroc_vs_measured_inactives,random_auroc_vs_background,random_threshold,random_threshold_basis,random_sensitivity,random_fpr_measured_inactives,random_fpr_background,random_median_test_novelty,random_test_actives_below_tanimoto_0.4,auroc_cost_of_prospectivity,sensitivity_cost_of_prospectivity,deployed_auroc_vs_measured_inactives,deployed_sensitivity,deployed_threshold
OPRK1,hybrid_decoys_plus_measured_inactives,ok,2018,3059.0,998.0,2485.0,7049.0,406.0,574.0,185.0,0.9208,0.9575,0.9396,held-out measured inactives from the training side of the split,0.507,0.0649,0.0285,0.5833,86.0,2485.0,7049.0,406.0,574.0,185.0,0.9597,0.9811,0.8631,held-out measured inactives from the training side of the split,0.892,0.1027,0.0337,0.85,4.0,0.0389,0.385,0.945,0.889,0.917
OPRM1,hybrid_decoys_plus_measured_inactives,ok,2020,3718.0,1343.0,3117.0,8800.0,551.0,601.0,240.0,0.8606,0.9312,0.7329,held-out measured inactives from the training side of the split,0.5141,0.075,0.0402,0.5909,83.0,3117.0,8800.0,551.0,601.0,240.0,0.9662,0.9795,0.6569,held-out measured inactives from the training side of the split,0.9351,0.1,0.0432,0.8361,3.0,0.1056,0.421,0.954,0.952,0.6077
OX1,hybrid_decoys_plus_measured_inactives,ok,2018,3312.0,576.0,2499.0,7285.0,212.0,813.0,151.0,0.9085,0.9638,0.7761,held-out measured inactives from the training side of the split,0.7454,0.1192,0.0325,0.5696,67.0,2499.0,7285.0,212.0,813.0,151.0,0.9722,0.9814,0.7768,held-out measured inactives from the training side of the split,0.9422,0.1656,0.0343,0.8308,4.0,0.0637,0.1968,0.964,0.976,0.7468
OX2,hybrid_decoys_plus_measured_inactives,ok,2018,3852.0,687.0,2899.0,8411.0,286.0,953.0,115.0,0.7182,0.8952,0.8898,held-out measured inactives from the training side of the split,0.4785,0.0522,0.0352,0.4795,425.0,2899.0,8411.0,286.0,953.0,115.0,0.9731,0.9811,0.9658,held-out measured inactives from the training side of the split,0.9161,0.1217,0.0373,0.8219,1.0,0.2549,0.4376,0.964,0.959,0.6773
P2X7,hybrid_decoys_plus_measured_inactives,ok,2021,2938.0,170.0,2833.0,8430.0,69.0,105.0,31.0,0.9393,0.9385,0.999,held-out measured inactives from the training side of the split,0.1714,0.0323,0.0157,0.6964,16.0,2833.0,8430.0,69.0,105.0,31.0,0.8691,0.9857,0.999,held-out measured inactives from the training side of the split,0.7333,0.0968,0.0203,0.8333,0.0,-0.0702,0.5619,0.813,0.677,0.999
PDE10A,hybrid_decoys_plus_measured_inactives,ok,2017,4084.0,243.0,3726.0,11111.0,67.0,358.0,109.0,0.9809,0.9663,0.9627,held-out measured inactives from the training side of the split,0.3799,0.0,0.0257,0.5104,33.0,3726.0,11111.0,67.0,358.0,109.0,0.9653,0.9834,0.9914,held-out measured inactives from the training side of the split,0.7989,0.0734,0.0225,0.8015,3.0,-0.0156,0.419,0.962,0.958,0.8717
PDE4B,hybrid_decoys_plus_measured_inactives,ok,2020,1128.0,332.0,963.0,2749.0,140.0,165.0,52.0,0.8911,0.9756,0.3846,held-out measured inactives from the training side of the split,0.6606,0.0577,0.012,0.4167,78.0,963.0,2749.0,140.0,165.0,52.0,0.9845,0.9876,0.1532,held-out measured inactives from the training side of the split,0.9515,0.0769,0.0297,0.8,3.0,0.0934,0.2909,0.966,0.969,0.3472
RIPK1,hybrid_decoys_plus_measured_inactives,ok,2022,1490.0,902.0,1138.0,3341.0,73.0,352.0,755.0,0.9186,0.9754,0.9948,held-out measured inactives from the training side of the split,0.0682,0.0,0.0,0.5568,88.0,1138.0,3341.0,73.0,352.0,755.0,0.9785,0.9945,0.1366,held-out measured inactives from the training side of the split,0.9773,0.1219,0.0127,0.8356,6.0,0.0599,0.9091,0.966,0.984,0.05
SERT,hybrid_decoys_plus_measured_inactives,ok,2014,2971.0,562.0,2259.0,6597.0,180.0,712.0,202.0,0.7734,0.9204,0.9362,held-out measured inactives from the training side of the split,0.2978,0.0644,0.0267,0.4234,306.0,2259.0,6597.0,180.0,712.0,202.0,0.9587,0.9772,0.9051,held-out measured inactives from the training side of the split,0.823,0.0693,0.0312,0.7778,10.0,0.1853,0.5252,0.945,0.947,0.744
SIRT1,,only 19 post-cutoff actives,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma1,hybrid_decoys_plus_measured_inactives,ok,2019,1928.0,112.0,1490.0,4424.0,46.0,438.0,19.0,,0.8971,0.9396,held-out measured inactives from the training side of the split,0.2991,0.0526,0.025,0.3769,255.0,1490.0,4424.0,46.0,438.0,19.0,,0.9744,0.9285,held-out measured inactives from the training side of the split,0.7717,0.0,0.0285,0.7835,14.0,,0.4726,0.881,0.82,0.9526
TAAR1,measured_labels_holdout,ok,2022,238.0,165.0,198.0,0.0,66.0,40.0,33.0,0.5947,0.7788,0.86,held-out measured inactives from the training side of the split,0.3,0.2727,0.0258,0.2967,30.0,198.0,0.0,66.0,40.0,33.0,0.7364,0.7715,0.8504,held-out measured inactives from the training side of the split,0.425,0.1818,0.0177,0.591,10.0,0.1417,0.125,0.78,0.763,0.8305
a3b4nAChR,hybrid_decoys_plus_measured_inactives,ok,2018,198.0,296.0,157.0,335.0,136.0,41.0,24.0,,0.8615,0.127,held-out measured inactives from the training side of the split,0.439,0.5833,0.0343,0.2672,28.0,157.0,335.0,136.0,41.0,24.0,,0.998,0.4079,held-out measured inactives from the training side of the split,0.9756,0.0417,0.0135,0.7317,0.0,,0.5366,0.974,0.97,0.2792
a4b2nAChR,hybrid_decoys_plus_measured_inactives,ok,2019,476.0,354.0,369.0,949.0,158.0,107.0,38.0,0.8256,0.9445,0.815,held-out measured inactives from the training side of the split,0.486,0.0263,0.0013,0.44,42.0,369.0,949.0,158.0,107.0,38.0,0.9651,0.9969,0.8927,held-out measured inactives from the training side of the split,0.757,0.0526,0.001,0.7049,3.0,0.1395,0.271,0.923,0.863,0.7822
a7nAChR,hybrid_decoys_plus_measured_inactives,ok,2017,337.0,385.0,261.0,679.0,104.0,76.0,176.0,0.4376,0.7527,0.2678,held-out measured inactives from the training side of the split,0.4342,0.5114,0.0127,0.373,43.0,261.0,679.0,104.0,76.0,176.0,0.9329,0.9822,0.6933,held-out measured inactives from the training side of the split,0.8289,0.1136,0.008,0.7796,1.0,0.4953,0.3947,0.763,0.875,0.5022
mGluR5,hybrid_decoys_plus_measured_inactives,ok,2017,1200.0,527.0,1080.0,3007.0,233.0,120.0,60.0,0.7633,0.9857,0.8937,held-out measured inactives from the training side of the split,0.2083,0.1333,0.0085,0.4785,21.0,1080.0,3007.0,233.0,120.0,60.0,0.9425,0.9931,0.9266,held-out measured inactives from the training side of the split,0.75,0.0667,0.0085,0.7707,2.0,0.1792,0.5417,0.893,0.817,0.8704
mTOR,hybrid_decoys_plus_measured_inactives,ok,2015,2984.0,1114.0,2326.0,6634.0,344.0,658.0,426.0,0.8484,0.9636,0.0749,held-out measured inactives from the training side of the split,0.8313,0.3521,0.0398,0.4654,217.0,2326.0,6634.0,344.0,658.0,426.0,0.992,0.9877,0.2627,held-out measured inactives from the training side of the split,0.9863,0.1197,0.0288,0.8323,2.0,0.1436,0.155,0.983,0.987,0.2188
