endpoint,descriptor,importance_mean,importance_sd,informative
HT2A,rotatable_bonds,0.03376,0.00407,True
HT2A,aromatic_rings,0.00269,0.00028,True
HT2A,fraction_csp3,0.02546,0.00163,True
HT2A,ring_count,0.00248,0.00042,True
HT2A,heavy_atoms,0.0123,0.0023,True
HT2A,formal_charge,1e-05,0.0,True
HT2A,qed,0.01041,0.00078,True
SERT,mw,0.01914,0.00209,True
SERT,clogp,0.14275,0.00914,True
SERT,tpsa,0.01108,0.00191,True
SERT,hbd,0.00171,0.00045,True
SERT,hba,0.0031,0.00128,True
SERT,rotatable_bonds,0.00531,0.00122,True
SERT,aromatic_rings,0.00515,0.00099,True
SERT,fraction_csp3,0.01747,0.0012,True
SERT,ring_count,0.0199,0.0022,True
SERT,heavy_atoms,0.01704,0.00288,True
SERT,formal_charge,0.0,0.0,False
SERT,qed,0.02331,0.00433,True
antioxidant_DPPH,mw,0.01285,0.0019,True
antioxidant_DPPH,clogp,0.00861,0.00103,True
antioxidant_DPPH,tpsa,0.03601,0.00816,True
antioxidant_DPPH,hbd,0.0182,0.00328,True
antioxidant_DPPH,hba,0.00375,0.00081,True
antioxidant_DPPH,rotatable_bonds,0.00731,0.00136,True
antioxidant_DPPH,aromatic_rings,0.00487,0.00061,True
antioxidant_DPPH,fraction_csp3,0.01943,0.00237,True
antioxidant_DPPH,ring_count,0.00311,0.00048,True
antioxidant_DPPH,heavy_atoms,0.00778,0.00303,True
antioxidant_DPPH,formal_charge,0.0,0.0,False
antioxidant_DPPH,qed,0.01943,0.00367,True
