metric,value
unique_compounds,57088
with_training_label,56990
reference_only,98
flavonoid_core,1009
measured_records_total,63968
compounds_with_BBB,7802
compounds_with_AChE,4233
compounds_with_BChE,2540
compounds_with_BACE1,8047
compounds_with_GSK3B,4042
compounds_with_MAO_A,2125
compounds_with_MAO_B,3443
compounds_with_D2,7470
compounds_with_A2A,5537
compounds_with_HT2A,5200
compounds_with_SERT,4409
compounds_with_hERG,5875
compounds_with_antioxidant_DPPH,2861
