endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,14764,1640,410,,0.9993634741225461,0.998300783659823,0.9804450171345488,0.9852941176470589,0.9886178861788617,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,14764,1640,410,,0.998032916914535,0.9952666898041705,0.9788049346012715,0.984009840098401,0.9865853658536585,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,14764,1640,410,,0.9992722585762444,0.9982103906178057,0.9739030145337269,0.9803439803439803,0.9845528455284553,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,14764,1640,410,,0.9970454094784851,0.9940006008812816,0.9689923538032638,0.976629766297663,0.9817073170731707,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,14764,1640,410,,0.999071980963712,0.9970756692916282,0.9625724706534157,0.9719169719169719,0.9808943089430895,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,14764,1640,410,,0.9987031528851874,0.9962743617472946,0.959179773005256,0.9692496924969249,0.9768292682926829,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,14763,1641,489,993.0,0.9965739320608953,0.9940119992686889,0.9576173429331369,0.9698857736240913,0.9744669180299932,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,14763,1641,347,998.0,0.9974188117180158,0.9943486886219518,0.9582316331312558,0.9670958512160229,0.9816221175988491,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,14763,1641,361,1000.0,0.9983877250692521,0.994463041355846,0.9208384327457273,0.9369627507163324,0.9490023372576177,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,14763,1641,403,1000.0,0.9950913383869766,0.9910188628118827,0.9303414303279374,0.9458762886597938,0.9529117242651038,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,14764,1640,438,999.0,0.9990274960302085,0.9970187626589336,0.9781423801867649,0.9839080459770115,0.9869205813750295,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,14764,1640,424,1000.0,0.9960297449106257,0.990900373793591,0.9488074875316477,0.961352657004831,0.9668725173783514,16404,4101,12188,115
A2A,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,14764,1640,433,1000.0,0.9990873101672116,0.9975784490423227,0.9732744382941155,0.9800703399765534,0.9818504834194681,16404,4101,12188,115
