endpoint,task,split,fold,n_test,n_train,n_scaffolds_test,positives_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
D2,regression,scaffold,6,773,6961,333,,,,,,,0.510384341970447,0.649073969915331,0.46285147706971763,0.7268066389115909
D2,regression,scaffold,7,773,6961,333,,,,,,,0.47564075631840874,0.6490673737884755,0.4669057179194364,0.6864074031070414
D2,regression,scaffold,8,773,6961,333,,,,,,,0.5786883562954881,0.6136811536415773,0.44496336388591057,0.7106982542140203
D2,regression,scaffold,9,773,6961,333,,,,,,,0.47542247827982964,0.6468335814753124,0.48029919494295137,0.6659438199903528
D2,regression,scaffold,10,773,6961,333,,,,,,,0.45950977994706066,0.6838955194448677,0.4918833122071019,0.6845834914748902
A2A,regression,random,1,679,6106,498,,,,,,,0.6779682499526626,0.6299622500054797,0.46343471085668553,0.818687839028413
A2A,regression,random,2,679,6106,484,,,,,,,0.643146343395681,0.6454868729283896,0.463116065784172,0.799658289245256
A2A,regression,random,3,679,6106,483,,,,,,,0.7123387872658944,0.5755503275328172,0.42142740513892063,0.849272980925143
A2A,regression,random,4,679,6106,473,,,,,,,0.6776467186837494,0.6382075283881472,0.46498128012402407,0.823114598737776
A2A,regression,random,5,679,6106,500,,,,,,,0.6725010114152803,0.6095938495972619,0.4336218072612763,0.8185631403703412
A2A,regression,random,6,678,6107,495,,,,,,,0.7094712785319364,0.5688277923274312,0.4039935218693409,0.8428039252012157
A2A,regression,random,7,678,6107,489,,,,,,,0.6544000208915337,0.6251248897348701,0.4562359020727032,0.7866908304725415
A2A,regression,random,8,678,6107,482,,,,,,,0.6791482294254013,0.6242564935355928,0.4527912943009275,0.820704567707479
A2A,regression,random,9,678,6107,489,,,,,,,0.6934970589490945,0.5878547760143062,0.42914102835136003,0.8301441313363226
A2A,regression,random,10,678,6107,479,,,,,,,0.7036443038147888,0.6157738801185799,0.4411315747437583,0.8412776738286935
A2A,regression,scaffold,1,679,6106,261,,,,,,,0.5131648138895243,0.7105042095826138,0.5413278764664665,0.7141859045671375
