endpoint,skeleton,n_stereoisomers,labels_disagree,potency_gap_log_units
A1,Cc1cnc2ccc(-c3c(-c4ncco4)nc(N)n4nc(CC5CCOC5)nc34)cn12,2,False,0.2
A1,Cc1cnc2ccc(-c3c(N4CCOC(C)C4)nc(N)n4nc(Cc5ncccc5F)nc34)cn12,2,False,0.91
A1,Cc1cnc2ccc(-c3nc(C(=O)NCC4CCCN4C)c(N)nc3-c3ccc(F)cc3)cn12,2,False,0.59
A1,Cc1cnc2ccc(-c3nc(C(=O)NCC4CCCO4)c(N)nc3-c3ncco3)cn12,2,False,0.06
A1,Cc1cnc2ccc(-c3nc(C(=O)NCC4CCOC4)c(N)nc3-c3ncco3)cn12,2,False,0.03
A1,Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,3,False,0.19
A1,O=C1NCCC12OC(n1cnc3c(NCc4cccc(I)c4)ncnc31)C(O)C2O,2,False,0.0
A1,OC1CSC(n2cnc3c(NCc4cccc(Br)c4)ncnc32)C1O,2,False,0.0
A1,OC1CSC(n2cnc3c(NCc4cccc(Cl)c4)ncnc32)C1O,2,False,0.0
A1,OC1CSC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C1O,2,False,0.1
A1,OCC1CCCN1c1nc(-c2nccs2)c2sccc2n1,2,False,1.25
A1,OCC1OC(n2cnc3c(NC4CC5CC4C4OC54)ncnc32)C(O)C1O,4,False,1.09
A1,OCC12CC1C(n1cnc3c(NC(C4CCC4)C4CC4)nc(Cl)nc31)C(O)C2O,2,False,0.31
A1,OCC12CC1C(n1cnc3c(NC(C4CCC4)C4CC4)nc(I)nc31)C(O)C2O,2,False,0.18
A1,OCC1OC(n2cnc3c(NC4CC5CCC4C5)ncnc32)C(O)C1O,2,False,0.15
A1,OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O,2,False,0.95
A1,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,2,True,1.74
A1,OC1C(CCl)OC(n2cnc3c(NC4CC5CCC4C5)ncnc32)C1O,4,False,0.99
A1,OC1C(O)C(n2cnc3c(NC(C4CCC4)C4CC4)nc(Cl)nc32)C2CC12,2,False,0.35
A1,OC1C(O)C(n2cnc3c(NC(CC4CC4)C4CC4)nc(Cl)nc32)C2CC12,2,False,0.46
A1,OC1C(O)C(n2cnc3c(NC4CC5CCC4C5)nc(Cl)nc32)C2CC12,2,False,0.38
A1,CCNC(=O)C1OC(n2cnc3c(NCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1,2,False,0.0
A1,CCNC(=O)C1OC(n2cnc3c(NCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1O,2,False,0.0
A1,CCNC(=O)C1OC(n2cnc3c(NCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1O,2,False,0.0
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4cccc(C(C)(C)O)c4)C3)nc21,2,False,0.27
A2A,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCC(NS(=O)(=O)c4cccc(C(F)(F)F)c4)CC3),2,False,0.26
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ccc(C5(C(F)(F)F)CCCCN5)cc4)C3)nc21,2,False,0.73
A2A,Nc1nc2c(cnn2CCCc2ccc3c(c2)OC(C(=O)O)O3)c2nc(-c3ccco3)nn12,2,False,0.0
A2A,COc1cc2nc(N)n3nc(C4CCCN(c5cnn(C6CCCC6(C)O)c5)C4)nc3c2cc1F,2,False,0.26
A2A,Nc1nc(-c2cnn(Cc3ccccc3)c2)nc2c1ncn2C1OC(CO)C(O)C1O,2,False,1.51
A2A,CNc1nc(Cl)nc2c1ncn2C1SCC(O)C1O,2,False,1.08
A2A,Nc1ncnc2c1ncn2C1C(O)C(O)C2(CO)CC12,2,False,0.0
A2A,COC(=O)C1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,2,True,1.69
A2A,COc1cc2nc(N)n3nc(C4CC(F)CN(c5cnn(CC(C)(C)O)c5)C4)nc3c2cc1F,2,False,1.02
A2A,Cc1cc2nc(NC(C)c3cncc(F)c3)nc(C(=O)NCC(C)O)c2s1,2,False,0.6
A2A,Cc1cnc2ccc(-c3c(-c4ccc(F)cc4)nc(N)n4nc(CC5CCCN5C)nc34)cn12,2,False,0.12
A2A,COCC1CCCN1c1cc(NC(C)=O)nc(-c2ccccn2)n1,2,False,0.04
A2A,COc1cccc2c1nc(N)n1nc(C3CCCN(CC(C4CC4)C(F)(F)F)C3)nc21,2,False,0.1
A2A,COc1cc2nc(N)n3nc(C4CN(c5cn(CC(C)(C)O)nc5C)CCO4)nc3c2cc1F,2,False,1.48
A2A,COc1cc(OC)cc(C(CNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)c2ccccc2C)c1,2,False,0.67
A2A,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)NC(Cc5ccccc5)C(=O)OC)cc4)nc3,2,False,0.27
A2A,COc1cccc2c1nc(N)n1nc(C3CCCC(c4cnn(C)c4)C3)nc21,2,False,1.38
A2A,COc1cccc2c1nc(N)n1nc(C3CCCN(CCC(F)(F)F)C3)nc21,2,False,1.37
A2A,OC1CSC(n2cnc3c(NCc4cccc(Cl)c4)ncnc32)C1O,2,False,1.23
A2A,COC1CCN(C(=O)c2nc(NC(C)c3cccnc3)nc3cc(C)sc23)C1,2,False,0.6
A2A,Cc1nc(C(C)(C)N)cnc1C1CC(c2nc3c4cc(F)cc(F)c4nc(N)n3n2)C1,2,False,1.3
A2A,COc1cc2nc(N)n3nc(C4CCC(C)N(c5cn(CC6(O)CCC6)nc5C)C4)nc3c2cc1F,2,False,0.06
A2A,Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,3,False,1.2
A2A,Nc1nc2c3c(ccc2c2nc(C4CCCN(CCC(F)(F)F)C4)nn12)OC(F)(F)O3,2,False,1.84
A2A,OCC1CCCN1c1nc(-c2nccs2)c2sccc2n1,2,False,0.11
A2A,COc1cc2nc(N)n3nc(C4CC(C)CN(C5=NC(CC(C)(C)O)N=C5)C4)nc3c2cc1F,2,False,1.57
A2A,COc1cccc2c1nc(N)n1nc(C3CCCN(c4cnn(CC5CCC(=O)C5)c4)C3)nc21,2,False,0.11
A2A,CC(Nc1nc(C(=O)N2CCCC2C)c2sccc2n1)c1cncc(F)c1,2,False,0.0
A2A,COCC1CC(OC)CN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,2,False,0.48
A2A,CCCCC#Cc1nc(N)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1,2,False,0.05
A2A,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)NC(CCCNC(=N)N)C(=O)O)cc4)nc3,2,False,0.3
A2A,COCC1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,2,False,1.58
A2A,Cc1cnc2ccc(-c3c(N4CCOC(C)C4)nc(N)n4nc(Cc5ncccc5F)nc34)cn12,2,False,1.45
A2A,Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,2,False,0.03
A2A,Cc1cc2nc(NC(C)c3cncc(F)c3)nc(C(=O)N3CCC(O)C3)c2s1,2,False,0.0
A2A,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCC(NC(=O)c4cccc(C(F)(F)F)c4)CC3)sc12,2,False,0.95
A2A,Cc1cc(-c2sc(NC(=O)N3CCC3C(C)(C)O)nc2-c2cccc(C#N)c2)cc(C)n1,2,False,1.27
