inventory_date,commit,model,family,predicts,task,algorithm,n_train,n_positive,n_scaffolds,validation,metric,random_split,scaffold_split,calibration,threshold_basis,deployed,fitted
2026-08-19,6dd47bd,NET_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",6012,1296.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.954,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:39
2026-08-19,6dd47bd,NFKB1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",102,37.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.392,"sigmoid, prefit",held_out_measured_inactives_and_background,False,2026-08-17 21:50
2026-08-19,6dd47bd,NLRP3_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",849,183.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.872,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 20:45
2026-08-19,6dd47bd,NR3C1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",37,59.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.479,"sigmoid, prefit",held_out_measured_inactives_and_background,False,2026-08-17 21:50
2026-08-19,6dd47bd,NRF2_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",285,61.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.539,"sigmoid, prefit",held_out_measured_inactives_and_background,False,2026-08-17 21:50
2026-08-19,6dd47bd,Nav1_1_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",227,56.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.918,"sigmoid, prefit",held_out_measured_inactives_and_background,False,2026-08-13 21:04
2026-08-19,6dd47bd,Nav1_5_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",870,207.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.921,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 21:04
2026-08-19,6dd47bd,Nav1_6_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",1013,185.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.634,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 21:02
2026-08-19,6dd47bd,Nav1_7_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",10496,2264.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.96,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 21:03
2026-08-19,6dd47bd,Nav1_8_binder,binder,probability this compound binds this target,classification,"RandomForest, 300 trees, min_samples_leaf=4, seed 42",1070,221.0,,actives withheld by scaffold; thresholds on a disjoint background pool,AUROC vs measured non-binders,,0.876,"sigmoid, prefit",held_out_measured_inactives_and_background,True,2026-08-13 21:03
