endpoint,n,scaffold5_ensemble,random10_ensemble,random10_RFonly,random5_ensemble,inflation_random10_minus_scaffold
BBB,7805,0.921,0.961,0.96,0.96,0.04
AChE,4324,0.915,0.966,0.962,0.963,0.051
BChE,2580,0.937,0.973,0.969,0.971,0.036
BACE1,8067,0.95,0.968,0.966,0.965,0.018
GSK-3β,4044,0.92,0.97,0.965,0.968,0.05
MAO-B,3455,0.885,0.959,0.953,0.956,0.074
MAO-A,2141,0.867,0.952,0.946,0.948,0.085
hERG,5905,0.901,0.96,0.955,0.957,0.059
