endpoint,split,threshold,precision,recall,f1,AUROC,PR_AUC,n_test,pos_rate_test
MAO_A,scaffold_holdout,@0.5,0.802,0.627,0.704,0.867,0.823,638,0.365
MAO_A,scaffold_holdout,@0.7,0.957,0.382,0.546,0.867,0.823,638,0.365
MAO_A,scaffold_holdout,@youden,0.667,0.815,0.734,0.867,0.823,638,0.365
MAO_B,temporal,@0.3,0.754,0.92,0.829,0.758,0.887,756,0.709
MAO_B,temporal,@0.5,0.82,0.784,0.802,0.758,0.887,756,0.709
MAO_B,temporal,@0.7,0.883,0.547,0.675,0.758,0.887,756,0.709
MAO_B,temporal,@youden,0.872,0.634,0.734,0.758,0.887,756,0.709
MAO_B,scaffold_holdout,@0.3,0.78,0.955,0.858,0.888,0.916,686,0.611
MAO_B,scaffold_holdout,@0.5,0.844,0.866,0.855,0.888,0.916,686,0.611
MAO_B,scaffold_holdout,@0.7,0.908,0.611,0.73,0.888,0.916,686,0.611
MAO_B,scaffold_holdout,@youden,0.843,0.883,0.862,0.888,0.916,686,0.611
SERT,temporal,@0.3,0.947,1.0,0.973,0.731,0.979,998,0.947
SERT,temporal,@0.5,0.947,0.997,0.971,0.731,0.979,998,0.947
SERT,temporal,@0.7,0.951,0.997,0.973,0.731,0.979,998,0.947
SERT,temporal,@youden,0.973,0.753,0.849,0.731,0.979,998,0.947
SERT,scaffold_holdout,@0.3,0.98,0.999,0.989,0.873,0.995,1279,0.977
SERT,scaffold_holdout,@0.5,0.98,0.998,0.989,0.873,0.995,1279,0.977
SERT,scaffold_holdout,@0.7,0.981,0.998,0.99,0.873,0.995,1279,0.977
SERT,scaffold_holdout,@youden,0.997,0.77,0.869,0.873,0.995,1279,0.977
hERG,temporal,@0.3,0.472,0.767,0.584,0.757,0.665,1263,0.313
hERG,temporal,@0.5,0.649,0.539,0.589,0.757,0.665,1263,0.313
hERG,temporal,@0.7,0.811,0.271,0.406,0.757,0.665,1263,0.313
hERG,temporal,@youden,0.565,0.686,0.619,0.757,0.665,1263,0.313
hERG,scaffold_holdout,@0.3,0.668,0.901,0.767,0.908,0.868,1610,0.389
hERG,scaffold_holdout,@0.5,0.861,0.665,0.75,0.908,0.868,1610,0.389
hERG,scaffold_holdout,@0.7,0.942,0.391,0.553,0.908,0.868,1610,0.389
hERG,scaffold_holdout,@youden,0.764,0.824,0.793,0.908,0.868,1610,0.389
