smiles,pka,year,basic_centre,says_acid,says_base
C#CC1CCCCC1OC[n+]1ccn(C)c1/C=N/O.[Cl-],8.03,1989.0,False,False,False
C#CCC(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],8.03,1989.0,False,False,False
C#CCC(CCC)OC[n+]1ccn(C)c1/C=N/O.[Cl-],7.92,1989.0,False,False,False
C#CCC(OC[n+]1ccn(C)c1/C=N/O)c1ccccc1.[Cl-],7.99,1989.0,False,False,False
C#CCCCC[n+]1ccc(/C=N/O)cc1.[Cl-],8.36,1989.0,True,False,False
C#CCCCC[n+]1ccccc1/C=N/O.[Cl-],7.93,1989.0,True,False,False
C#CCCCC[n+]1ccn(C(C)(C)C)c1/C=N/O.[Cl-],8.06,1989.0,False,False,False
C#CCCCC[n+]1ccn(C)c1/C=N/O.[Cl-],8.18,1989.0,False,False,False
C#CCCCC[n+]1ccn(COC)c1/C=N/O.[Cl-],8.23,1989.0,False,False,False
C#CCCCC[n+]1cn(C)c(/C=N/O)n1.[Cl-],7.34,1989.0,False,False,False
C#CCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],8.2,1989.0,False,False,False
C#CCCOC[n+]1ccc(/C=N/O)cc1.[Cl-],8.18,1989.0,True,False,False
C#CCCOC[n+]1ccn(C(C)(C)C)c1/C=N/O.[Cl-],7.84,1989.0,False,False,False
C#CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],7.99,1989.0,False,False,False
C#CCN(C)[C@H](C)Cc1ccc(F)cc1,7.42,2013.0,True,False,False
C#CCN(C)[C@H](C)Cc1ccccc1,7.69,2013.0,True,True,False
C#CCN(C1=NCCN1)c1c(Br)cccc1Br,10.1,1980.0,True,False,False
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.3,2008.0,True,False,False
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,2008.0,True,False,False
C#CCN(c1ccc(N(CC#C)S(=O)(=O)c2ccc(NC(C)=O)cc2)c2ccccc12)S(=O)(=O)c1ccc(NC(C)=O)cc1,10.73,2016.0,False,False,False
C#CCOC(=O)Nc1cc(Cl)ccc1O,13.55,1995.0,False,False,False
C#CCOC[n+]1ccn(C)c1/C=N/O.[Cl-],8.01,1989.0,False,False,False
C#CCOc1ccc2cc(C(=O)NCCn3ccc(=O)c(O)c3C)c(=O)oc2c1,6.5,2020.0,True,True,True
C#CCOc1ccc2cc(Cn3cc(O)c(=O)cc3C)c(=O)oc2c1,6.005,2019.0,True,True,True
C#CCOc1ccc2cc(Cn3ccc(=O)c(O)c3C)c(=O)oc2c1,6.345,2019.0,True,True,True
C#CCOc1ccc2cc(Cn3ccc(=O)c(O)c3CC)c(=O)oc2c1,6.290000000000001,2019.0,True,True,True
C#CCOc1noc2c1CNCC2.Cl,7.6,1986.0,True,False,False
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.2,2012.0,True,False,False
C#Cc1cc2c(c(F)c1-c1c(O)cccc1Cl)OC[C@H]1CN(C(=O)C=C)CCN1C2,3.9,2023.0,True,False,False
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,13.9,2013.0,False,False,False
C(=C/c1cc2ccc(C3=NCCN3)cc2[nH]1)\c1cc2ccc(C3=NCCN3)cc2[nH]1,9.6,2010.0,True,False,False
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,7.47,2008.0,True,False,False
C(C#Cc1c[nH]cn1)#Cc1ccccc1,4.0,2021.0,False,False,False
C(C#Cc1ccncc1)#Cc1ccccc1,3.3,2021.0,True,False,False
C(CCCCCCC1=NCCCN1)CCCCCC1=NCCCN1.Cl.Cl,13.1,2007.0,True,False,False
C(CCCCCCC1=NCCN1)CCCCCC1=NCCN1,13.0,2007.0,True,False,False
C(CCCCCCNC1=NCCC1)CCCCCNC1=NCCC1,12.1,2007.0,True,False,False
C(CCCCCCNC1=NCCCC1)CCCCCNC1=NCCCC1,12.7,2007.0,True,False,False
C/C(=C\CO)CC/C=C(\C)CC/C=C(\C)COc1cc(C)c(C(=O)O)c(O)c1,5.0,2018.0,False,False,False
C/C(=C\CO)CC/C=C(\C)COc1ccc(C(=O)O)c(C)c1,5.0,2018.0,False,False,False
C/C(=C\CO)CC/C=C(\C)COc1ccc(C(=O)O)c(F)c1,5.0,2018.0,False,False,False
C/C(=C\CO)CC/C=C(\C)COc1ccc(C(=O)O)c(O)c1,5.0,2018.0,False,False,False
C/C(=C\CO)CC/C=C(\C)COc1ccc(C(=O)O)cc1,5.0,2018.0,False,False,False
C/C(=C\c1ccccc1)C(=O)Nc1ccccc1C(=O)O,3.5,2019.0,False,False,False
C/C(=N/OCC(O)CNC(C)(C)C)C(C)C,9.27,1984.0,True,False,False
C/C(=N/OCC(O)CNC(C)(C)C)C1CC1,9.45,1984.0,True,False,False
C/C(=N\N/C(S)=N/N=C(\S)N(C)C)c1ccccn1,6.25,1992.0,True,False,False
C/C(=N\N=C(/S)N/N=C(\S)Nc1ccc(C(F)(F)F)cc1)c1ccccn1,5.32,1992.0,True,False,False
C/C(=N\N=C(/S)N/N=C(\S)Nc1cccc(C(F)(F)F)c1)c1ccccn1,5.34,1992.0,True,False,False
C/C(=N\N=C(/S)N/N=C(\S)Nc1cccc(Cl)c1Cl)c1ccccn1,5.475,1992.0,True,False,False
C/C(=N\N=C(/S)N/N=C(\S)Nc1cccc(I)c1)c1ccccn1,5.415,1992.0,True,False,False
C/C(=N\N=C(/S)N/N=C(\S)Nc1ccccc1Cl)c1ccccn1,5.59,1992.0,True,False,False
C/C(=N\N=C(/S)N/N=C(\S)Nc1ccccn1)c1ccccn1,5.87,1992.0,True,False,False
C/C(=N\N=C(N)N)[C@H]1CC[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,9.49,1996.0,True,True,False
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(-c3ccccc3)cc1)[C@H](O)C2)N(C)Cc1ccc(F)cc1,8.3,2015.0,True,False,False
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)NCc1ccc(F)cc1,8.49,2015.0,True,False,False
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)Nc1ccc(F)cc1,8.2,2015.0,True,False,False
C/C(CC1CC1)=N/OCC(O)CNC(C)(C)C,9.57,1984.0,True,False,False
C/C=C(/C)C(=O)O,4.3,2013.0,False,False,False
C/C=C(\C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,5.02,2013.0,False,False,False
C/C=C/C=C/C(=O)O,4.5,2013.0,False,False,False
C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br,11.0,1980.0,True,False,False
C/C=C/COC[n+]1ccn(C)c1/C=N/O.[Cl-],8.07,1989.0,False,False,False
C/C=C/COc1noc2c1CNCC2.Cl,7.7,1986.0,True,False,False
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,7.3,2014.0,True,False,True
C/C=C\COC[n+]1ccn(C)c1/C=N/O.[Cl-],8.04,1989.0,False,False,False
C/N=C(/NC#N)NCCSCc1csc(NC(=N)N)n1,10.55,1983.0,True,False,False
C/N=C(\C[N+](=O)[O-])N/N=C/[C@H]1CC[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2.37,1996.0,True,True,False
C/N=C(\NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,10.1,1983.0,True,False,False
C/N=S(\c1ccc(C(F)(F)F)cc1)C1CC1,11.0,2025.0,False,False,False
C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,7.7,2008.0,True,False,False
C1=C(c2cccnc2)NCC1,7.305,1992.0,True,False,False
C1=CNC(c2ccccc2)N1,6.48,1993.0,True,False,False
C1=CNC(c2ccncc2)N1,5.36,1993.0,True,False,False
C1=CNCN1,6.99,1993.0,True,False,False
C1CC(c2nnn[nH]2)CCN1,7.5,2013.0,True,True,True
C1CC2CCC1CN2,11.0,2010.0,True,False,False
C1CCCNCC1,10.89,2017.0,True,False,False
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,11.4,1993.0,True,False,False
C1CCNC1,11.285,2013.0,True,False,False
C1CCNCC1,11.1,2019.0,True,True,False
C1CN1,7.99,2013.0,True,False,False
C1CNC1,11.0,2013.0,True,False,False
C1CNCCN1,9.8,2012.0,True,False,False
C1COC(NC(C2CC2)C2CC2)=N1,9.260000000000002,2009.0,True,False,False
C1COCCN1,8.495000000000001,2019.0,True,True,False
C1CSCCN1,9.0,2013.0,True,False,False
C=C(Br)COc1noc2c1CNCC2.Cl,7.6,1986.0,True,False,False
C=C(C)CC(OC[n+]1ccn(C)c1/C=N/O)C(=C)C.[Cl-],7.91,1989.0,False,False,False
C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,10.9,1980.0,True,False,False
C=C(C)CCOC[n+]1ccn(C)c1/C=N/O.[Cl-],8.03,1989.0,False,False,False
C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br,10.71,1980.0,True,False,False
C=C(C)COC[n+]1ccn(C)c1/C=N/O.[Cl-],7.99,1989.0,False,False,False
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)c(C(=O)O)c1O,2.91,2019.0,False,False,False
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,2.91,2019.0,False,False,False
C=C(C)[C@@H]1CC[C@]2(CNCCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.2,2018.0,True,False,False
C=C(C)[C@@H]1CC[C@]2(CNCCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.95,2018.0,True,False,False
C=C(C)[C@@H]1CC[C@]2(CNCCN3CCC(F)(F)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.6,2018.0,True,False,False
C=C(C)[C@@H]1CC[C@]2(CNCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.2,2018.0,True,False,False
C=C(C)[C@@H]1CC[C@]2(NCCN3CCC(F)(F)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.5,2018.0,True,False,False
C=C(C)[C@@H]1CC[C@]2(NCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.2,2018.0,True,False,False
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,4.3,1996.0,True,False,False
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.5,2013.0,False,False,False
C=C(F)C(N)CCC(=O)O,8.32,1987.0,True,False,False
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,2008.0,True,False,False
C=C(c1ccc(OC(C)(C)COC(=O)CCC(=O)O)cc1)C1COC2(OO1)C1CC3CC(C1)CC2C3,4.0,2021.0,False,False,False
C=C1CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,7.7,1992.0,True,False,False
C=C1CN2CCC[C@@]2(COc2nc(N3CCN(C(=O)/C=C/c4cc(CN5CCOCC5)ccn4)C[C@@H]3C)c3cc(Cl)c(-c4nc(N)cc(C)c4C(F)(F)F)c(F)c3n2)C1,5.4,2024.0,True,False,False
C=C1CN2CCC[C@@]2(COc2nc(N3CCN(C(=O)/C=C/c4cc(CNC)ccn4)C[C@@H]3C)c3cc(Cl)c(-c4nc(N)cc(C)c4C(F)(F)F)c(F)c3n2)C1,8.4,2024.0,True,False,False
C=C1C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)S1,7.8,2021.0,True,False,False
C=C=CCOC[n+]1ccn(C)c1/C=N/O.[Cl-],8.03,1989.0,False,False,False
C=CC(=O)N1CCC(c2cc3c(Oc4ccc(NC(=O)NC5CC5)c(Cl)c4)ccnc3cc2OC)CC1,5.77,2023.0,True,False,False
C=CC(=O)N1CCC(c2cc3c(Oc4ccc(NC(=O)NC5CC5)c(Cl)c4)ccnc3cc2OCC)CC1,5.28,2023.0,True,False,False
C=CC(=O)N1CCN2Cc3cc(F)c(-c4c(O)cccc4Cl)c(F)c3OC[C@H]2C1.O,3.9,2023.0,True,False,False
C=CC(=O)N1CC[C@@H]2OCCN(c3ncnc4[nH]ccc34)[C@@H]2C1,6.3,2018.0,True,False,False
