smiles,pka,year
C/N=C(/NC#N)NCCSCc1csc(NC(=N)N)n1,10.55,1983.0
C/N=C(\NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,10.1,1983.0
C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,7.7,2008.0
C1=C(c2cccnc2)NCC1,7.305,1992.0
C1=CNC(c2ccccc2)N1,6.48,1993.0
C1=CNC(c2ccncc2)N1,5.36,1993.0
C1=CNCN1,6.99,1993.0
C1CC2CCC1CN2,11.0,2010.0
C1CCCNCC1,10.89,2017.0
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,11.4,1993.0
C1CCNC1,11.285,2013.0
C1CN1,7.99,2013.0
C1CNC1,11.0,2013.0
C1CNCCN1,9.8,2012.0
C1COC(NC(C2CC2)C2CC2)=N1,9.260000000000002,2009.0
C1CSCCN1,9.0,2013.0
C=C(Br)COc1noc2c1CNCC2.Cl,7.6,1986.0
C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,10.9,1980.0
C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br,10.71,1980.0
C=C(C)[C@@H]1CC[C@]2(CNCCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.2,2018.0
C=C(C)[C@@H]1CC[C@]2(CNCCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.95,2018.0
C=C(C)[C@@H]1CC[C@]2(CNCCN3CCC(F)(F)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.6,2018.0
C=C(C)[C@@H]1CC[C@]2(CNCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.2,2018.0
C=C(C)[C@@H]1CC[C@]2(NCCN3CCC(F)(F)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.5,2018.0
C=C(C)[C@@H]1CC[C@]2(NCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,8.2,2018.0
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,4.3,1996.0
C=C(F)C(N)CCC(=O)O,8.32,1987.0
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,2008.0
C=C1CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,7.7,1992.0
C=C1CN2CCC[C@@]2(COc2nc(N3CCN(C(=O)/C=C/c4cc(CN5CCOCC5)ccn4)C[C@@H]3C)c3cc(Cl)c(-c4nc(N)cc(C)c4C(F)(F)F)c(F)c3n2)C1,5.4,2024.0
C=C1CN2CCC[C@@]2(COc2nc(N3CCN(C(=O)/C=C/c4cc(CNC)ccn4)C[C@@H]3C)c3cc(Cl)c(-c4nc(N)cc(C)c4C(F)(F)F)c(F)c3n2)C1,8.4,2024.0
C=C1C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)S1,7.8,2021.0
C=CC(=O)N1CCC(c2cc3c(Oc4ccc(NC(=O)NC5CC5)c(Cl)c4)ccnc3cc2OC)CC1,5.77,2023.0
C=CC(=O)N1CCC(c2cc3c(Oc4ccc(NC(=O)NC5CC5)c(Cl)c4)ccnc3cc2OCC)CC1,5.28,2023.0
C=CC(=O)N1CCN2Cc3cc(F)c(-c4c(O)cccc4Cl)c(F)c3OC[C@H]2C1.O,3.9,2023.0
