name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier
SULPIRIDE,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,68.0,71.0,62.0,54.0,79.0,57.0,72.0,silver
PHENOBARBITAL,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,75.0,63.0,60.0,77.0,57.0,70.0,silver
FLUOXETINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,65.0,66.0,78.0,59.0,66.0,silver
PAROXETINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,75.0,73.0,64.0,58.0,78.0,58.0,70.0,silver
SERTINDOLE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,72.0,65.0,58.0,78.0,60.0,71.0,silver
PERPHENAZINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,70.0,66.0,52.0,81.0,59.0,77.0,silver
OXAZEPAM,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,71.0,68.0,53.0,79.0,61.0,66.0,silver
LORMETAZEPAM,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,69.0,65.0,53.0,76.0,60.0,65.0,silver
ZIDOVUDINE,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,71.0,63.0,62.0,78.0,56.0,68.0,silver
TRIMIPRAMINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,70.0,64.0,56.0,79.0,57.0,69.0,silver
MAPROTILINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,69.0,64.0,58.0,80.0,59.0,70.0,silver
LAMOTRIGINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,69.0,65.0,52.0,82.0,60.0,70.0,silver
TADALAFIL,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,72.0,67.0,53.0,78.0,60.0,72.0,silver
PIPAMPERONE,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,69.0,65.0,52.0,79.0,56.0,70.0,silver
FLUSPIRILENE,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,70.0,71.0,66.0,60.0,78.0,55.0,70.0,silver
GABAPENTIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,69.0,64.0,55.0,78.0,56.0,68.0,silver
TIAPRIDE,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,75.0,63.0,58.0,79.0,56.0,71.0,silver
OXCARBAZEPINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,75.0,71.0,64.0,54.0,77.0,60.0,64.0,silver
MOCLOBEMIDE,,High,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,71.0,61.0,58.0,78.0,55.0,70.0,silver
ZOPICLONE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,72.0,64.0,53.0,81.0,59.0,70.0,silver
ROFLUMILAST,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,74.0,63.0,54.0,80.0,58.0,74.0,silver
TOPIRAMATE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,67.0,66.0,55.0,78.0,57.0,65.0,silver
PALIPERIDONE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,71.0,61.0,62.0,80.0,62.0,76.0,silver
FLUPHENAZINE ENANTHATE,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,73.0,64.0,55.0,79.0,59.0,77.0,silver
VENLAFAXINE HYDROCHLORIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,70.0,62.0,58.0,80.0,57.0,71.0,silver
MEGESTROL ACETATE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,69.0,65.0,62.0,79.0,57.0,68.0,silver
NICERGOLINE,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,73.0,65.0,55.0,78.0,60.0,66.0,silver
MELPERONE,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,66.0,57.0,79.0,57.0,70.0,silver
