inchikey,canonical_smiles,name,BBB_label,BBB_pchembl,AChE_label,AChE_pchembl,BChE_label,BChE_pchembl,BACE1_label,BACE1_pchembl,GSK3B_label,GSK3B_pchembl,MAO_A_label,MAO_A_pchembl,MAO_B_label,MAO_B_pchembl,D2_label,D2_pchembl,A2A_label,A2A_pchembl,HT2A_label,HT2A_pchembl,SERT_label,SERT_pchembl,hERG_label,hERG_pchembl,antioxidant_pIC50,n_endpoints_measured,role,sources,clinical_max_phase,atc,disease,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
AADWBQLQKGQDIM-UHFFFAOYSA-N,O=C(CCCN1CCC(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,,,,,,,,,,,,,,,,1.0,7.645,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,567.82,8.297,20.31,0,2,6,4,0.39,0.219
AAEKULYONKUBOZ-UHFFFAOYSA-N,CN1C2CCC1C(C(=O)Oc1ccccc1)C(c1ccc(Cl)cc1)C2,,,,,,,,,,,,,,,,,,,,,,1.0,6.41,,,,1,training_label,ChEMBL_37,,,,False,355.87,4.512,29.54,0,3,3,2,0.381,0.599
AAELEHAFAYIZRH-KDURUIRLSA-N,O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,,,,,,,,,,,,,,,,1.0,9.09,,,1.0,9.01,,,,,,2,training_label,ChEMBL_37,,,,False,438.6,4.39,61.61,1,6,6,3,0.5,0.618
AAELEHAFAYIZRH-WGSAOQKQSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,,,,,,,,,,,,,,,,1.0,8.54,,,1.0,9.64,,,,,,2,training_label,ChEMBL_37,,,,False,438.6,4.39,61.61,1,6,6,3,0.5,0.618
AAELFMMXNFMCCW-BXKDBHETSA-N,C[C@@H]1CNC[C@H]2Cc3ccc(C#N)cc3N21,,,,,,,,,,,,,,,,,,,,1.0,6.96,,,,,,1,training_label,ChEMBL_37,,,,False,213.28,1.281,39.06,1,3,0,1,0.462,0.705
AAEYHJGXSUBKQJ-UHFFFAOYSA-N,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)c(OC)c1)CCCC3,,,,1.0,7.35,,,,,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,423.51,3.954,95.7,2,7,5,2,0.417,0.703
AAEYTMMNWWKSKZ-UHFFFAOYSA-N,Nc1c(C(=O)Nc2ccc([N+](=O)[O-])cc2)sc2nc3c(cc12)CCCC3,,,,,,,,,,,,,,,,,,0.0,4.82,,,,,,,,1,training_label,ChEMBL_37,,,,False,368.42,3.918,111.15,2,6,3,3,0.222,0.538
AAFQEIUAVWYQTJ-UHFFFAOYSA-N,Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,,,,,,,,,,,,,,1.0,6.92,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,409.24,1.191,80.28,0,5,5,3,0.312,0.592
AAGCATAPYOEULE-ZQJJHTFWSA-N,COc1cc(C[C@@H]2COC(=O)[C@H]2Cc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)ccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,3.712,1,training_label,ChEMBL_DPPH,,,,False,520.53,0.163,164.37,5,11,9,2,0.5,0.286
AAGWAYIWKWJZAD-HSZRJFAPSA-N,O=C(NCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O)C1CCOCC1,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.1,,1,training_label,ChEMBL_37,,,,False,509.05,3.648,76.46,1,5,8,3,0.464,0.502
AAHFBZODUHKGBC-CCDWMCETSA-N,CC(=O)N[C@@H](Cc1ccc(F)cc1F)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,,,,,,,,1.0,7.97,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,501.62,4.393,83.48,3,5,8,2,0.571,0.5
AAHLCKVWZXFMPB-UHFFFAOYSA-N,CN1Cc2ccccc2C(c2ccc3[nH]ccc3c2)C1,,,,,,,,,,,,,,,,,,,,,,1.0,6.815,,,,1,training_label,ChEMBL_37,,,,False,262.36,3.745,19.03,1,1,1,3,0.222,0.707
AAHNBILIYONQLX-QFIPXVFZSA-N,COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,,,,,,,,,,,,,,,,,,,,,,1.0,7.62,,,,1,training_label,ChEMBL_37,,,,False,514.48,4.67,78.07,0,5,5,4,0.28,0.362
AAHNBILIYONQLX-UHFFFAOYSA-N,COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,,,,,,,,,,,,,,,,,,,,,,1.0,7.5,,,,1,training_label,ChEMBL_37,,,,False,514.48,4.67,78.07,0,5,5,4,0.28,0.362
AAHXNWIGTPUBBQ-UHFFFAOYSA-N,CCNC(=O)Oc1ccc2c(c1)C(N)CC2,,,,0.0,4.75,,,,,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,220.27,1.741,64.35,2,3,2,1,0.417,0.798
AAIVPEBVZWQHCI-UHFFFAOYSA-N,CN1CCN(c2c3c(nc4ccc([N+](=O)[O-])cc24)CCCC3)CC1,,,,1.0,6.61,1.0,6.78,,,,,,,,,,,,,,,,,,,,2,training_label,ChEMBL_37,,,,False,326.4,2.774,62.51,0,5,2,2,0.5,0.627
