endpoint,task,split,fold,n_test,n_train,n_scaffolds_test,positives_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman,panel
BBB,classification,random,1,781,7024,507.0,496.0,0.9693371533672892,0.982075947499792,0.8021183236270608,0.930049261083744,0.893350311262026,,,,,core target panel
BBB,classification,random,2,781,7024,513.0,496.0,0.9632852292020372,0.9766518492623556,0.771863952992108,0.9183266932270916,0.8822616015846068,,,,,core target panel
BBB,classification,random,3,781,7024,497.0,496.0,0.9536219581211092,0.9747283803924272,0.7167147682348588,0.898,0.85612973967176,,,,,core target panel
BBB,classification,random,4,781,7024,492.0,496.0,0.949221844934918,0.9704344814751604,0.7232538377039412,0.902463054187192,0.8546760045274476,,,,,core target panel
BBB,classification,random,5,781,7024,490.0,496.0,0.9590761177136388,0.977592433545304,0.7462312384423738,0.9098116947472744,0.8679647707979626,,,,,core target panel
BBB,classification,random,6,780,7025,491.0,495.0,0.9610632642211592,0.9770106173272586,0.7630368191092397,0.9154228855721394,0.8769271664008507,,,,,core target panel
BBB,classification,random,7,780,7025,522.0,495.0,0.9599645578592946,0.972235981051292,0.7578605886551458,0.913086913086913,0.8756512493354598,,,,,core target panel
BBB,classification,random,8,780,7025,513.0,495.0,0.9526918305865674,0.974387820493433,0.7311836396992758,0.9058823529411764,0.856140350877193,,,,,core target panel
BBB,classification,random,9,780,7025,525.0,495.0,0.962729044834308,0.9792201594971855,0.7596057247876448,0.9153543307086616,0.871451355661882,,,,,core target panel
BBB,classification,random,10,780,7025,497.0,496.0,0.9737406292594276,0.9855013086753556,0.7998660581822256,0.9278557114228456,0.898071899136756,,,,,core target panel
BBB,classification,scaffold,1,781,7024,220.0,643.0,0.9249216760204656,0.979713388269741,0.6355088312201475,0.9415337889141988,0.786462911623504,,,,,core target panel
BBB,classification,scaffold,2,781,7024,226.0,494.0,0.8444328457165428,0.903207886730784,0.4836989656790346,0.8221574344023324,0.7330157006023501,,,,,core target panel
BBB,classification,scaffold,3,781,7024,248.0,563.0,0.9181726335000896,0.9653199746563872,0.64365212573533,0.9005328596802842,0.821826062867665,,,,,core target panel
BBB,classification,scaffold,4,781,7024,249.0,477.0,0.9363069623744896,0.9582907951131756,0.6848424307886621,0.8747346072186837,0.8446947754606642,,,,,core target panel
BBB,classification,scaffold,5,781,7024,250.0,445.0,0.950561797752809,0.9581112514995642,0.7695122305921709,0.9026548672566372,0.8825341091492777,,,,,core target panel
BBB,classification,scaffold,6,780,7025,249.0,487.0,0.8641049540615735,0.9191483839715406,0.5085900590749215,0.8312439729990356,0.7394334611152771,,,,,core target panel
BBB,classification,scaffold,7,780,7025,249.0,494.0,0.9431676622972168,0.9622949230298342,0.7268556831927707,0.9057692307692308,0.8456017666543982,,,,,core target panel
BBB,classification,scaffold,8,780,7025,249.0,491.0,0.9245731118612536,0.9512317466899404,0.6905598361250607,0.892128279883382,0.8307352412631519,,,,,core target panel
BBB,classification,scaffold,9,780,7025,249.0,428.0,0.936076226635514,0.9455674404228088,0.7211397272164685,0.8726415094339622,0.8612202633814783,,,,,core target panel
BBB,classification,scaffold,10,780,7025,250.0,434.0,0.9548493646946004,0.9651804272770454,0.7188686125039385,0.8772727272727273,0.8579952585173544,,,,,core target panel
AChE,classification,random,1,439,3948,357.0,318.0,0.9459691252144082,0.9723925075754952,0.7540867736848371,0.9324960753532182,0.8760720411663808,,,,,core target panel
AChE,classification,random,2,439,3948,340.0,318.0,0.9532200218306566,0.9759982616318724,0.8373009557400268,0.9567901234567902,0.9047767555486252,,,,,core target panel
AChE,classification,random,3,439,3948,356.0,318.0,0.9569364312074432,0.9826684688859736,0.7055900102843813,0.9204368174726988,0.8481339986485784,,,,,core target panel
AChE,classification,random,4,439,3948,357.0,318.0,0.9677737928166744,0.9866306038967384,0.7936312474930152,0.9435736677115988,0.8947580435573574,,,,,core target panel
AChE,classification,random,5,439,3948,352.0,318.0,0.9641483445085504,0.9852754652909096,0.8201215784227495,0.951937984496124,0.9000597744165497,,,,,core target panel
AChE,classification,random,6,439,3948,349.0,318.0,0.9705546026300744,0.987891262463645,0.7901002983313755,0.9444444444444444,0.8819585217526899,,,,,core target panel
AChE,classification,random,7,439,3948,355.0,317.0,0.9731344055437764,0.9888416125695154,0.7938040184620627,0.9435736677115988,0.8927961938253091,,,,,core target panel
AChE,classification,random,8,438,3949,366.0,317.0,0.9640482832338296,0.9857315198577128,0.795553639026943,0.9430379746835444,0.8997836118570275,,,,,core target panel
AChE,classification,random,9,438,3949,359.0,317.0,0.9638397163490366,0.9861328575872144,0.7380461967602868,0.9300155520995336,0.8600385848736867,,,,,core target panel
AChE,classification,random,10,438,3949,350.0,317.0,0.9662382355241548,0.9861211692355736,0.785551572829406,0.9422776911076444,0.8854316030972182,,,,,core target panel
AChE,classification,scaffold,1,439,3948,209.0,316.0,0.9052433878769168,0.9617513406094472,0.6222647436358313,0.8692699490662139,0.8359576000823299,,,,,core target panel
AChE,classification,scaffold,2,439,3948,210.0,330.0,0.9486099527383932,0.97965771160988,0.7725487408821803,0.9473684210526316,0.8532944120100083,,,,,core target panel
AChE,classification,scaffold,3,439,3948,212.0,315.0,0.9175627240143368,0.964692087133412,0.6059604638761008,0.8838709677419355,0.8099206349206349,,,,,core target panel
AChE,classification,scaffold,4,439,3948,212.0,319.0,0.9121473354231976,0.962638329611012,0.6330198537095089,0.8996865203761756,0.8165099268547544,,,,,core target panel
AChE,classification,scaffold,5,439,3948,212.0,303.0,0.9185352358765289,0.9630805911980218,0.6427828019834317,0.8963317384370016,0.8056081343428461,,,,,core target panel
AChE,classification,scaffold,6,439,3948,212.0,320.0,0.9212710084033612,0.9648443052774088,0.6539767175249435,0.9115853658536586,0.8117253151260504,,,,,core target panel
AChE,classification,scaffold,7,439,3948,212.0,313.0,0.9584664536741214,0.9828884576570176,0.7666891812270781,0.9358372456964006,0.8704929256047467,,,,,core target panel
AChE,classification,scaffold,8,438,3949,212.0,339.0,0.9351777360626918,0.9762933731226108,0.7581113953080968,0.9476744186046512,0.8646643425404488,,,,,core target panel
AChE,classification,scaffold,9,438,3949,212.0,320.0,0.8946239406779661,0.9600650359781088,0.4631184671634059,0.8751835535976505,0.6986758474576271,,,,,core target panel
AChE,classification,scaffold,10,438,3949,213.0,301.0,0.9005504765138104,0.954804398251438,0.6433233087912352,0.8921568627450981,0.8148022407061619,,,,,core target panel
BChE,classification,random,1,263,2358,228.0,185.0,0.9711711711711712,0.9882914222921906,0.7929975015042897,0.9373297002724796,0.9007623007623008,,,,,core target panel
BChE,classification,random,2,262,2359,220.0,185.0,0.9663039663039664,0.9876905253523158,0.8056949144720411,0.9392265193370166,0.914004914004914,,,,,core target panel
BChE,classification,random,3,262,2359,206.0,185.0,0.9884169884169884,0.9952319780209214,0.8259665468822346,0.948509485094851,0.9145314145314144,,,,,core target panel
BChE,classification,random,4,262,2359,218.0,185.0,0.9737451737451736,0.9893177315290484,0.8033526961606129,0.9395604395604396,0.91021411021411,,,,,core target panel
BChE,classification,random,5,262,2359,221.0,185.0,0.9759915759915762,0.9901468070884152,0.7932296837389223,0.936986301369863,0.9037206037206036,,,,,core target panel
BChE,classification,random,6,262,2359,228.0,185.0,0.9505089505089506,0.977840165345998,0.7475183986203412,0.9192200557103064,0.8875043875043875,,,,,core target panel
BChE,classification,random,7,262,2359,215.0,184.0,0.9626532887402452,0.9835031734044593,0.7714338514390063,0.9277777777777778,0.8961120401337792,,,,,core target panel
BChE,classification,random,8,262,2359,211.0,184.0,0.9748467112597548,0.9893047486475416,0.8069862998254653,0.9388888888888888,0.9143673355629878,,,,,core target panel
BChE,classification,random,9,262,2359,228.0,184.0,0.949623745819398,0.9789558821962976,0.6690718978965161,0.8980716253443526,0.8403706800445931,,,,,core target panel
BChE,classification,random,10,262,2359,220.0,184.0,0.9708751393534002,0.9881861723691764,0.7978325376088363,0.9405405405405406,0.8959030100334449,,,,,core target panel
BChE,classification,scaffold,1,263,2358,134.0,174.0,0.921186878470877,0.958843912108912,0.7176896724767253,0.905982905982906,0.8557729562185199,,,,,core target panel
BChE,classification,scaffold,2,262,2359,134.0,167.0,0.9633785061456036,0.9808379136138304,0.7511452702209233,0.9046153846153846,0.8822250236369367,,,,,core target panel
BChE,classification,scaffold,3,262,2359,134.0,167.0,0.9385439647021746,0.9679697016244748,0.7407454234530355,0.89171974522293,0.8823195713835487,,,,,core target panel
BChE,classification,scaffold,4,262,2359,134.0,180.0,0.9554539295392954,0.9798812718033818,0.7498439904462026,0.9178470254957508,0.8829268292682927,,,,,core target panel
BChE,classification,scaffold,5,262,2359,134.0,192.0,0.929389880952381,0.9762110245173736,0.6349149110633929,0.8846153846153846,0.8406994047619047,,,,,core target panel
BChE,classification,scaffold,6,262,2359,135.0,190.0,0.9365131578947368,0.9679813105888984,0.7046747942799462,0.922680412371134,0.839108187134503,,,,,core target panel
BChE,classification,scaffold,7,262,2359,135.0,198.0,0.9309501262626264,0.9768430487121712,0.6401154854029522,0.9113924050632912,0.8217329545454546,,,,,core target panel
BChE,classification,scaffold,8,262,2359,135.0,187.0,0.8921212121212121,0.959371328686324,0.5351076215732476,0.8571428571428571,0.7771122994652406,,,,,core target panel
BChE,classification,scaffold,9,262,2359,135.0,182.0,0.9426167582417582,0.9763958449195056,0.6866128860380223,0.898876404494382,0.8520604395604395,,,,,core target panel
BChE,classification,scaffold,10,262,2359,135.0,209.0,0.9615419337365712,0.9909391640893646,0.7479620200909279,0.9437652811735942,0.895684752189221,,,,,core target panel
BACE1,classification,random,1,851,7650,596.0,774.0,0.9845464612906474,0.9983351089089684,0.8185199711862607,0.9838813668600904,0.9019849659384545,,,,,core target panel
BACE1,classification,random,2,850,7651,593.0,774.0,0.9643002855977152,0.9958379269241228,0.7368575125610112,0.9767741935483872,0.8640180878552972,,,,,core target panel
BACE1,classification,random,3,850,7651,586.0,774.0,0.968312253501972,0.9962619662384196,0.6886946416009428,0.9736673089274244,0.8251903984768122,,,,,core target panel
BACE1,classification,random,4,850,7651,607.0,774.0,0.9533523731810144,0.994153036263168,0.654548002799571,0.971135343168698,0.8048075615395076,,,,,core target panel
BACE1,classification,random,5,850,7651,580.0,774.0,0.9614783081735347,0.9956020065115468,0.7832517339861281,0.9806201550387597,0.8916258669930641,,,,,core target panel
BACE1,classification,random,6,850,7651,596.0,774.0,0.954406364749082,0.9944612522638108,0.6978879436415379,0.974293059125964,0.8317693458452333,,,,,core target panel
BACE1,classification,random,7,850,7651,599.0,774.0,0.961546307629539,0.9954749122278708,0.7039957667345306,0.97495183044316,0.8324153406772745,,,,,core target panel
BACE1,classification,random,8,850,7651,589.0,774.0,0.9770076839385284,0.9973948883517793,0.7773678277106499,0.9799612152553328,0.8909798721610227,,,,,core target panel
BACE1,classification,random,9,850,7651,581.0,774.0,0.9673687610499117,0.9963492048402848,0.7486377675535104,0.9773755656108596,0.8765299877600978,,,,,core target panel
BACE1,classification,random,10,850,7651,584.0,773.0,0.97437879067892,0.9965760910333384,0.7553401924661078,0.978750804893754,0.8617210732346567,,,,,core target panel
BACE1,classification,scaffold,1,851,7650,308.0,786.0,0.9072421217459384,0.9906877225433688,0.5301712669373584,0.9678638941398866,0.7347034644744568,,,,,core target panel
BACE1,classification,scaffold,2,850,7651,307.0,780.0,0.983992673992674,0.9984271353523136,0.7974243123716569,0.9840459476707084,0.8799450549450549,,,,,core target panel
BACE1,classification,scaffold,3,850,7651,308.0,779.0,0.9610280424524036,0.9960629110911426,0.5638510625473724,0.9683544303797468,0.7374929939069591,,,,,core target panel
BACE1,classification,scaffold,4,850,7651,308.0,768.0,0.9663205030487804,0.9950051275669198,0.7345011036470297,0.9768934531450578,0.8186134400406504,,,,,core target panel
BACE1,classification,scaffold,5,850,7651,308.0,756.0,0.956792468760554,0.9941022440239892,0.6675480407197543,0.9659685863874344,0.8072441742654508,,,,,core target panel
BACE1,classification,scaffold,6,850,7651,309.0,797.0,0.9738050709026774,0.9981820040024147,0.6877382304230556,0.981226533166458,0.8314670580715419,,,,,core target panel
BACE1,classification,scaffold,7,850,7651,310.0,753.0,0.943168905135472,0.991491326628134,0.6049135893402884,0.9578947368421052,0.7823688065606988,,,,,core target panel
BACE1,classification,scaffold,8,850,7651,310.0,772.0,0.957777002789956,0.9951911953183552,0.7435752083453852,0.9774339136041263,0.856317257871662,,,,,core target panel
BACE1,classification,scaffold,9,850,7651,310.0,751.0,0.9449555474855076,0.9910951193338328,0.7102599261556498,0.9683377308707124,0.8321161010908015,,,,,core target panel
BACE1,classification,scaffold,10,850,7651,310.0,797.0,0.9612580194597664,0.996963059277384,0.6778293016662612,0.9812734082397004,0.8138538386875311,,,,,core target panel
GSK3B,classification,random,1,496,4462,369.0,462.0,0.9622485357779476,0.997027885801592,0.6299958497930358,0.9787234042553192,0.7331296154825566,,,,,core target panel
GSK3B,classification,random,2,496,4462,367.0,462.0,0.9682327476445124,0.9975227044316656,0.6669086998751496,0.979635584137192,0.7887063916475681,,,,,core target panel
GSK3B,classification,random,3,496,4462,382.0,462.0,0.9770180799592564,0.9982081774772305,0.7633628956492469,0.9849462365591398,0.8486121721415839,,,,,core target panel
GSK3B,classification,random,4,496,4462,358.0,462.0,0.9887318563789153,0.9991803824128106,0.7086154146131961,0.9817400644468314,0.8181181563534505,,,,,core target panel
