row_key,endpoint,panel,task,description,chembl_target_id,identifier_source_script,training_table,n_compounds,n_active_label1,n_inactive_label0,n_binder_pchembl_ge7,pchembl_min,pchembl_max,year_min,year_max,data_sources,label_rule,n_scaffolds,n_features,model_family,hyperparameters,cv_folds,roc_auc_random_mean,roc_auc_random_sd,roc_auc_scaffold_mean,roc_auc_scaffold_sd,spearman_scaffold_mean,model_file,calibrated_model_file,deployed,cv_detail_in,uniprot_accession,chembl_pref_name,dual_model_note
Nav1_8 [Binder classifier],Nav1_8,Binder classifier,classification,Nav1.8,CHEMBL5451,fetch_batch4.py,data/endpoints/Nav1_8.csv,540.0,501.0,39.0,283.0,4.01,9.52,2007.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.987,,,models_rf/Nav1_8_binder.joblib,,True,07_binder_panel_training_design.csv,,,
OPRK1 [Binder classifier],OPRK1,Binder classifier,classification,kappa-opioid,CHEMBL237,fetch_new_targets.py,data/endpoints/OPRK1.csv,5167.0,4857.0,310.0,3059.0,4.01,10.94,1983.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.995,,,models_rf/OPRK1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
OPRM1 [Binder classifier],OPRM1,Binder classifier,classification,mu-opioid,CHEMBL233,fetch_new_targets.py,data/endpoints/OPRM1.csv,6109.0,5743.0,366.0,3718.0,4.0,11.0,1989.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.997,,,models_rf/OPRM1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
OX1 [Binder classifier],OX1,Binder classifier,classification,orexin OX1,CHEMBL5113,fetch_batch2.py,data/endpoints/OX1.csv,5273.0,5159.0,114.0,3312.0,4.18,10.22,2001.0,2025.0,"ChEMBL, PubChem_HTS",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.999,,,models_rf/OX1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
OX2 [Binder classifier],OX2,Binder classifier,classification,orexin OX2,CHEMBL4792,fetch_batch2.py,data/endpoints/OX2.csv,6231.0,6207.0,24.0,3852.0,4.49,11.0,2003.0,2025.0,"ChEMBL, PubChem_HTS",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.999,,,models_rf/OX2_binder.joblib,,True,07_binder_panel_training_design.csv,,,
P2X7 [Binder classifier],P2X7,Binder classifier,classification,P2X7,CHEMBL4805,fetch_batch2.py,data/endpoints/P2X7.csv,4401.0,4358.0,43.0,2938.0,4.02,11.0,2000.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.998,,,models_rf/P2X7_binder.joblib,,True,07_binder_panel_training_design.csv,,,
PDE10A [Binder classifier],PDE10A,Binder classifier,classification,PDE10A,CHEMBL4409,fetch_batch2.py,data/endpoints/PDE10A.csv,5112.0,5052.0,60.0,4084.0,3.07,11.0,2005.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.999,,,models_rf/PDE10A_binder.joblib,,True,07_binder_panel_training_design.csv,,,
PDE4B [Binder classifier],PDE4B,Binder classifier,classification,PDE4B,CHEMBL275,fetch_batch2.py,data/endpoints/PDE4B.csv,1938.0,1712.0,226.0,1128.0,4.0,11.0,1995.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.993,,,models_rf/PDE4B_binder.joblib,,True,07_binder_panel_training_design.csv,,,
RIPK1 [Binder classifier],RIPK1,Binder classifier,classification,RIPK1,CHEMBL5464,fetch_batch5.py,data/endpoints/RIPK1.csv,3068.0,2349.0,719.0,1490.0,4.01,11.0,2011.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.997,,,models_rf/RIPK1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
SERT [Binder classifier],SERT,Binder classifier,classification,SERT,CHEMBL228,data/core_panel_target_ids.json,data/endpoints/SERT.csv,4572.0,4427.0,145.0,3028.0,4.0,11.0,1980.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.994,,,models_rf/SERT_binder.joblib,,True,07_binder_panel_training_design.csv,P31645,Sodium-dependent serotonin transporter,"SERT is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
SIRT1 [Binder classifier],SIRT1,Binder classifier,classification,SIRT1,CHEMBL4506,fetch_batch2.py,data/endpoints/SIRT1.csv,515.0,162.0,353.0,30.0,4.0,8.64,2005.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.893,,,models_rf/SIRT1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
Sigma1 [Binder classifier],Sigma1,Binder classifier,classification,Sigma-1,CHEMBL287,fetch_new_targets.py,data/endpoints/Sigma1.csv,2838.0,2793.0,45.0,1928.0,4.06,10.89,1981.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.987,,,models_rf/Sigma1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
TAAR1 [Binder classifier],TAAR1,Binder classifier,classification,TAAR1,CHEMBL5857,fetch_batch3.py,data/endpoints/TAAR1.csv,303.0,238.0,65.0,93.0,4.29,8.93,2008.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.79,,,models_rf/TAAR1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
a3b4nAChR [Binder classifier],a3b4nAChR,Binder classifier,classification,alpha3beta4-nAChR,CHEMBL1907594,fetch_batch4.py,data/endpoints/a3b4nAChR.csv,585.0,398.0,187.0,198.0,4.0,9.85,1996.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.981,,,models_rf/a3b4nAChR_binder.joblib,,True,07_binder_panel_training_design.csv,,,
a4b2nAChR [Binder classifier],a4b2nAChR,Binder classifier,classification,alpha4beta2-nAChR,CHEMBL1907589,fetch_batch4.py,data/endpoints/a4b2nAChR.csv,942.0,796.0,146.0,476.0,4.0,10.7,1997.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.985,,,models_rf/a4b2nAChR_binder.joblib,,True,07_binder_panel_training_design.csv,,,
a7nAChR [Binder classifier],a7nAChR,Binder classifier,classification,alpha7-nAChR,CHEMBL2492,fetch_new_targets.py,data/endpoints/a7nAChR.csv,1004.0,823.0,181.0,337.0,4.0,10.04,1999.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.983,,,models_rf/a7nAChR_binder.joblib,,True,07_binder_panel_training_design.csv,,,
mGluR5 [Binder classifier],mGluR5,Binder classifier,classification,mGluR5,CHEMBL3227,fetch_batch2.py,data/endpoints/mGluR5.csv,2434.0,2375.0,59.0,1200.0,4.0,9.46,1998.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.995,,,models_rf/mGluR5_binder.joblib,,True,07_binder_panel_training_design.csv,,,
mTOR [Binder classifier],mTOR,Binder classifier,classification,mTOR,CHEMBL2842,fetch_batch2.py,data/endpoints/mTOR.csv,4484.0,4108.0,376.0,2984.0,4.0,10.15,1999.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.999,,,models_rf/mTOR_binder.joblib,,True,07_binder_panel_training_design.csv,,,
kpuu [ADME / exposure],kpuu,ADME / exposure,regression,"Unbound brain/plasma (Kp,uu) (ratio)",,,,566.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,,,,,0.5293,models_rf/adme/kpuu.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
logbb [ADME / exposure],logbb,ADME / exposure,regression,"Brain penetration (logBB, total) (log ratio)",,,,1058.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,,,,,0.6881,models_rf/adme/logbb.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
caco2_permeability [ADME / exposure],caco2_permeability,ADME / exposure,regression,Passive permeability (Caco-2) (log Papp cm/s),,,,897.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,,,,,0.7402,models_rf/adme/caco2_permeability.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
pgp_substrate [ADME / exposure],pgp_substrate,ADME / exposure,classification,P-gp substrate (efflux) (probability),,,,1371.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,0.8576,0.0315,0.8084,0.0543,,models_rf/adme/pgp_substrate.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
pgp_inhibition [ADME / exposure],pgp_inhibition,ADME / exposure,classification,P-gp inhibition (probability),,,,1212.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,0.9549,0.018,0.9372,0.024,,models_rf/adme/pgp_inhibition.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
solubility [ADME / exposure],solubility,ADME / exposure,regression,Aqueous solubility (logS) (log mol/L),,,,9573.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,,,,,0.8718,models_rf/adme/solubility.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
lipophilicity [ADME / exposure],lipophilicity,ADME / exposure,regression,Lipophilicity (logD) (logD),,,,4200.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,,,,,0.7472,models_rf/adme/lipophilicity.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
plasma_protein_binding [ADME / exposure],plasma_protein_binding,ADME / exposure,regression,Plasma-protein binding (fraction bound),,,,1797.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,,,,,0.6389,models_rf/adme/plasma_protein_binding.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
clearance_hepatocyte [ADME / exposure],clearance_hepatocyte,ADME / exposure,regression,Hepatocyte clearance (uL/min/1e6),,,,1020.0,,,,,,,,Therapeutics Data Commons / MoleculeNet / B3DB / ChEMBL,measured value from the source dataset; no thresholding applied here,,1036,RandomForest,,10,,,,,0.4305,models_rf/adme/clearance_hepatocyte.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
antioxidant_DPPH [Neuroprotection regressor],antioxidant_DPPH,Neuroprotection regressor,regression,measured DPPH radical-scavenging pIC50,,,,,,,,,,,,,continuous measured value,919.0,1036,RandomForestRegressor,,10,,,,,0.6502,models_rf/antioxidant_DPPH.joblib,,True,03_crossvalidation_summary.csv,,,
pka_basic [Physicochemical regressor],pka_basic,Physicochemical regressor,regression,most basic pKa,,,,,,,,,,,,,continuous measured value,2958.0,1036,RandomForestRegressor,,10,,,,,,models_rf/pka_basic.joblib,,True,,,,
