row_key,endpoint,panel,task,description,chembl_target_id,identifier_source_script,training_table,n_compounds,n_active_label1,n_inactive_label0,n_binder_pchembl_ge7,pchembl_min,pchembl_max,year_min,year_max,data_sources,label_rule,n_scaffolds,n_features,model_family,hyperparameters,cv_folds,roc_auc_random_mean,roc_auc_random_sd,roc_auc_scaffold_mean,roc_auc_scaffold_sd,spearman_scaffold_mean,model_file,calibrated_model_file,deployed,cv_detail_in,uniprot_accession,chembl_pref_name,dual_model_note
HT2A [Receptor potency regressor],HT2A,Receptor potency regressor,regression,Serotonin 5-HT2A receptor,CHEMBL224,data/core_panel_target_ids.json,data/endpoints/HT2A.csv,5989.0,5908.0,81.0,3951.0,4.0,11.0,1994.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",continuous pChEMBL value; no thresholding,2254.0,1036,RandomForestRegressor,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",10,,,,,0.7116,models_rf/HT2A.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P28223,5-hydroxytryptamine receptor 2A,"HT2A is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
SERT [Receptor potency regressor],SERT,Receptor potency regressor,regression,Serotonin transporter,CHEMBL228,data/core_panel_target_ids.json,data/endpoints/SERT.csv,4572.0,4427.0,145.0,3028.0,4.0,11.0,1980.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",continuous pChEMBL value; no thresholding,1459.0,1036,RandomForestRegressor,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",10,,,,,0.6246,models_rf/SERT.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P31645,Sodium-dependent serotonin transporter,"SERT is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
A1 [Binder classifier],A1,Binder classifier,classification,A1,CHEMBL226,fetch_new_targets.py,data/endpoints/A1.csv,4007.0,3788.0,219.0,1943.0,3.81,10.52,1990.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.995,,,models_rf/A1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
A2A [Binder classifier],A2A,Binder classifier,classification,A2A,CHEMBL251,data/core_panel_target_ids.json,data/endpoints/A2A.csv,6785.0,6554.0,231.0,4352.0,3.39,11.42,1989.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.998,,,models_rf/A2A_binder.joblib,,True,07_binder_panel_training_design.csv,P29274,Adenosine receptor A2a,"A2A is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
CB1 [Binder classifier],CB1,Binder classifier,classification,CB1,CHEMBL218,fetch_new_targets.py,data/endpoints/CB1.csv,4613.0,4404.0,209.0,2680.0,4.0,10.7,1996.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.993,,,models_rf/CB1_binder.joblib,,True,07_binder_panel_training_design.csv,,,
CGRP [Binder classifier],CGRP,Binder classifier,classification,CGRP receptor,CHEMBL3798,fetch_batch5.py,data/endpoints/CGRP.csv,787.0,761.0,26.0,599.0,4.02,11.0,1992.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,1.0,,,models_rf/CGRP_binder.joblib,,True,07_binder_panel_training_design.csv,,,
COX2 [Binder classifier],COX2,Binder classifier,classification,COX-2,CHEMBL230,fetch_batch2.py,data/endpoints/COX2.csv,3185.0,2492.0,693.0,1182.0,4.0,10.7,1994.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.966,,,models_rf/COX2_binder.joblib,,True,07_binder_panel_training_design.csv,,,
CSF1R [Binder classifier],CSF1R,Binder classifier,classification,CSF1R,CHEMBL1844,fetch_batch2.py,data/endpoints/CSF1R.csv,2432.0,2396.0,36.0,1784.0,4.0,9.52,1997.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.996,,,models_rf/CSF1R_binder.joblib,,True,07_binder_panel_training_design.csv,,,
Cav3_2 [Binder classifier],Cav3_2,Binder classifier,classification,Cav3_2,CHEMBL1859,fetch_batch4.py,data/endpoints/Cav3_2.csv,666.0,633.0,33.0,351.0,4.0,8.52,2008.0,2024.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.999,,,models_rf/Cav3_2_binder.joblib,,False,07_binder_panel_training_design.csv,,,
D2 [Binder classifier],D2,Binder classifier,classification,D2,CHEMBL217,data/core_panel_target_ids.json,data/endpoints/D2.csv,7734.0,7468.0,266.0,3676.0,3.74,11.0,1987.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,,1036,RandomForestClassifier with sigmoid calibration,,10,,,0.994,,,models_rf/D2_binder.joblib,,True,07_binder_panel_training_design.csv,P14416,D(2) dopamine receptor,"D2 is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
