endpoint,n_scored,predicted_active,predicted_active_frac,median_probability
BBB,11723,5407,0.4612,0.4759
AChE,11723,4192,0.3576,0.448
BChE,11723,3096,0.2641,0.3993
BACE1,11723,3902,0.3328,0.4062
GSK3B,11723,8388,0.7155,0.6645
MAO_A,11723,733,0.0625,0.3602
MAO_B,11723,2248,0.1918,0.4016
hERG,11723,1124,0.0959,0.3069
