endpoint,descriptor,importance_mean,importance_sd,informative
HT2A,rotatable_bonds,0.00684,0.00131,True
HT2A,aromatic_rings,0.00163,0.00032,True
HT2A,fraction_csp3,0.0147,0.00197,True
HT2A,ring_count,0.0024,0.00056,True
HT2A,heavy_atoms,0.0264,0.00295,True
HT2A,formal_charge,-0.0,0.0,False
HT2A,qed,0.01305,0.0016,True
SERT,mw,0.01054,0.00183,True
SERT,clogp,0.03737,0.00336,True
SERT,tpsa,0.00475,0.00153,True
SERT,hbd,0.0014,0.00037,True
SERT,hba,0.00159,0.00068,True
SERT,rotatable_bonds,0.004,0.00108,True
SERT,aromatic_rings,0.00253,0.00127,False
SERT,fraction_csp3,0.01678,0.00164,True
SERT,ring_count,0.00539,0.00105,True
SERT,heavy_atoms,0.06714,0.01068,True
SERT,formal_charge,0.0,0.0,True
SERT,qed,0.01128,0.002,True
antioxidant_DPPH,mw,0.01293,0.00184,True
antioxidant_DPPH,clogp,0.008,0.00092,True
antioxidant_DPPH,tpsa,0.03521,0.00807,True
antioxidant_DPPH,hbd,0.0184,0.00332,True
antioxidant_DPPH,hba,0.00409,0.00083,True
antioxidant_DPPH,rotatable_bonds,0.00713,0.0014,True
antioxidant_DPPH,aromatic_rings,0.0052,0.00056,True
antioxidant_DPPH,fraction_csp3,0.0196,0.00218,True
antioxidant_DPPH,ring_count,0.00305,0.00042,True
antioxidant_DPPH,heavy_atoms,0.00792,0.00313,True
antioxidant_DPPH,formal_charge,-0.0,0.0,False
antioxidant_DPPH,qed,0.01897,0.00369,True
