endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc
GSK3B,classification,random,1,4462,496,0.9622485357779476,0.9970278858015919,0.6299958497930358,0.9787234042553191,0.7331296154825566
GSK3B,classification,random,2,4462,496,0.9682327476445125,0.9975227044316657,0.6669086998751496,0.9796355841371919,0.7887063916475681
GSK3B,classification,random,3,4462,496,0.9770180799592565,0.9982081774772305,0.7633628956492469,0.9849462365591398,0.8486121721415839
GSK3B,classification,random,4,4462,496,0.9887318563789153,0.9991803824128106,0.7086154146131961,0.9817400644468314,0.8181181563534505
GSK3B,classification,random,5,4462,496,0.9388846447669977,0.9950675682995751,0.5805986379560371,0.9742489270386266,0.7560478736949325
GSK3B,classification,random,6,4462,496,0.9677234530175707,0.9975575771599579,0.5336452260790777,0.9698275862068966,0.7517188693659282
GSK3B,classification,random,7,4462,496,0.972275273745862,0.9978163246511501,0.6391346251691457,0.9786324786324786,0.7603768780239368
GSK3B,classification,random,8,4462,496,0.9730399752091727,0.9978988031570755,0.590589265847466,0.9730312837108953,0.7748682987294702
GSK3B,classification,random,9,4463,495,0.9705882352941178,0.9975451194911759,0.6824504585497708,0.98068669527897,0.7897792522648973
GSK3B,classification,random,10,4463,495,0.9744800306239633,0.9979209797898937,0.7679096293375766,0.9848812095032398,0.8622240653311216
GSK3B,classification,scaffold,1,4462,496,0.9787426503844415,0.9959730497230012,0.8276533183081638,0.9782857142857143,0.8645061406255437
GSK3B,classification,scaffold,2,4462,496,0.8901766346451814,0.9900169228724042,0.5142103783526014,0.9711229946524064,0.7066935233963434
GSK3B,classification,scaffold,3,4462,496,0.9193679391567599,0.9943042881148131,0.528258388198406,0.9778714436248683,0.6864431809791036
GSK3B,classification,scaffold,4,4462,496,0.9086352657004831,0.9918066871554835,0.5163396376027636,0.9699570815450643,0.7135265700483091
GSK3B,classification,scaffold,5,4462,496,0.9366658769643844,0.9958136853745123,0.4956775442630412,0.9779179810725552,0.6809207928610914
GSK3B,classification,scaffold,6,4462,496,0.9193277310924369,0.9958658008406249,0.46588735863799874,0.9779179810725552,0.7384453781512605
GSK3B,classification,scaffold,7,4462,496,0.9619146722164413,0.9973309593062318,0.5734180902397168,0.9777306468716861,0.7215053763440861
GSK3B,classification,scaffold,8,4462,496,0.9191637630662022,0.9918807006016466,0.43512357241938787,0.9647812166488794,0.6308496381667114
GSK3B,classification,scaffold,9,4463,495,0.963334645152827,0.9972240284201129,0.6707804907787807,0.9795479009687836,0.8106060606060606
GSK3B,classification,scaffold,10,4463,495,0.9721314626177205,0.9986139451047982,0.5660183681726864,0.9843260188087775,0.702431289640592
BACE1,classification,random,1,7650,851,0.9845464612906474,0.9983351089089685,0.8185199711862607,0.9838813668600903,0.9019849659384543
BACE1,classification,random,2,7651,850,0.9643002855977152,0.9958379269241228,0.7368575125610112,0.9767741935483871,0.8640180878552972
BACE1,classification,random,3,7651,850,0.968312253501972,0.9962619662384198,0.6886946416009428,0.9736673089274245,0.8251903984768122
BACE1,classification,random,4,7651,850,0.9533523731810145,0.9941530362631681,0.654548002799571,0.9711353431686979,0.8048075615395076
BACE1,classification,random,5,7651,850,0.9614783081735345,0.995602006511547,0.7832517339861281,0.9806201550387597,0.8916258669930641
BACE1,classification,random,6,7651,850,0.954406364749082,0.9944612522638108,0.6978879436415379,0.974293059125964,0.8317693458452333
BACE1,classification,random,7,7651,850,0.961546307629539,0.9954749122278709,0.7039957667345306,0.9749518304431599,0.8324153406772745
BACE1,classification,random,8,7651,850,0.9770076839385285,0.9973948883517791,0.7773678277106499,0.9799612152553329,0.8909798721610227
BACE1,classification,random,9,7651,850,0.9673687610499115,0.9963492048402851,0.7486377675535104,0.9773755656108597,0.8765299877600978
BACE1,classification,random,10,7651,850,0.97437879067892,0.9965760910333383,0.7553401924661078,0.978750804893754,0.8617210732346567
BACE1,classification,scaffold,1,7650,851,0.9072421217459385,0.9906877225433689,0.5301712669373584,0.9678638941398866,0.7347034644744568
BACE1,classification,scaffold,2,7651,850,0.9839926739926741,0.9984271353523135,0.7974243123716569,0.9840459476707084,0.8799450549450549
