inchikey,smiles,cid
VMUXSMXIQBNMGZ-UHFFFAOYSA-N,O=C1CCc2ccccc2O1,660
DNXHEGUUPJUMQT-UHFFFAOYSA-N,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,698
FNENWZWNOPCZGK-UHFFFAOYSA-N,CCOC(=O)C(C)C(C)=O,701
JLYXXMFPNIAWKQ-UHFFFAOYSA-N,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,727
NTYJJOPFIAHURM-UHFFFAOYSA-N,NCCc1cnc[nH]1,774
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,Oc1ccc(O)cc1,785
SEOVTRFCIGRIMH-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccccc12,802
RSTKLPZEZYGQPY-UHFFFAOYSA-N,O=C(O)C(=O)Cc1c[nH]c2ccccc12,803
AGBQKNBQESQNJD-UHFFFAOYSA-N,O=C(O)CCCCC1CCSS1,864
CDAISMWEOUEBRE-UHFFFAOYSA-N,OC1C(O)C(O)C(O)C(O)C1O,892
DRLFMBDRBRZALE-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,896
OVRNDRQMDRJTHS-UHFFFAOYSA-N,CC(=O)NC1C(O)OC(CO)C(O)C1O,899
MVAWJSIDNICKHF-UHFFFAOYSA-N,CC(=O)NCCc1c[nH]c2ccc(O)cc12,903
FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)Nc1ccccc1,904
UFWIBTONFRDIAS-UHFFFAOYSA-N,c1ccc2ccccc2c1,931
FTVWIRXFELQLPI-UHFFFAOYSA-N,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,932
DFPAKSUCGFBDDF-UHFFFAOYSA-N,NC(=O)c1cccnc1,936
PVNIIMVLHYAWGP-UHFFFAOYSA-N,O=C(O)c1cccnc1,938
SNICXCGAKADSCV-UHFFFAOYSA-N,CN1CCCC1c1cccnc1,942
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,957
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(C(=O)O)cc1,978
IZUPBVBPLAPZRR-UHFFFAOYSA-N,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,992
YNPNZTXNASCQKK-UHFFFAOYSA-N,c1ccc2c(c1)ccc1ccccc12,995
BHHGXPLMPWCGHP-UHFFFAOYSA-N,NCCc1ccccc1,1001
XNGIFLGASWRNHJ-UHFFFAOYSA-N,O=C(O)c1ccccc1C(=O)O,1017
SIOXPEMLGUPBBT-UHFFFAOYSA-N,O=C(O)c1ccccn1,1018
DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,1030
IPEHBUMCGVEMRF-UHFFFAOYSA-N,NC(=O)c1cnccn1,1046
NIPZZXUFJPQHNH-UHFFFAOYSA-N,O=C(O)c1cnccn1,1047
WQGWDDDVZFFDIG-UHFFFAOYSA-N,Oc1cccc(O)c1O,1057
GJAWHXHKYYXBSV-UHFFFAOYSA-N,O=C(O)c1cccnc1C(=O)O,1066
FSYKKLYZXJSNPZ-UHFFFAOYSA-N,CNCC(=O)O,1088
BJHIKXHVCXFQLS-UHFFFAOYSA-N,O=C(CO)C(O)C(O)C(O)CO,1101
XOAAWQZATWQOTB-UHFFFAOYSA-N,NCCS(=O)(=O)O,1123
APJYDQYYACXCRM-UHFFFAOYSA-N,NCCc1c[nH]c2ccccc12,1150
ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=c1cc[nH]c(=O)[nH]1,1174
XSQUKJJJFZCRTK-UHFFFAOYSA-N,NC(N)=O,1176
NIDRYBLTWYFCFV-UHFFFAOYSA-N,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3O,1201
IRJCBFDCFXCWGO-UHFFFAOYSA-N,NC(C(=O)O)c1cc(=O)[nH]o1,1233
CGQCWMIAEPEHNQ-UHFFFAOYSA-N,COc1cc(C(O)C(=O)O)ccc1O,1245
IWYDHOAUDWTVEP-UHFFFAOYSA-N,O=C(O)C(O)c1ccccc1,1292
CMWTZPSULFXXJA-UHFFFAOYSA-N,COc1ccc2cc(C(C)C(=O)O)ccc2c1,1302
JZUTXVTYJDCMDU-UHFFFAOYSA-N,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,1309
DGEZNRSVGBDHLK-UHFFFAOYSA-N,c1cnc2c(c1)ccc1cccnc12,1318
FFBDFADSZUINTG-UHFFFAOYSA-N,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,1329
IWALGNIFYOBRKC-UHFFFAOYSA-N,CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(CCC)c1=O,1330
LFUJIPVWTMGYDG-UHFFFAOYSA-N,O=c1[nH]ccc2c(O)cccc12,1340
RAVIZVQZGXBOQO-UHFFFAOYSA-N,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,1345
WZBWBNCQUTXYEL-UHFFFAOYSA-N,FC(F)(F)c1ccccc1-n1ccnc1,1359
CDMZOKMMANFJMU-UHFFFAOYSA-N,C=CCn1c(=O)c2c(nc(-c3ccc(S(=O)(=O)O)cc3)n2C)n(C)c1=O,1365
JCXKHYLLVKZPKE-UHFFFAOYSA-N,Nn1nnc2ccccc21,1367
