inchikey,smiles,cid
ZSZXZLXNAMZONT-UFENVRBSSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)CC)[C@@H](C)O,11251086
MVFTUTVQNJDZTB-FIRPJDEBSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)OCc1ccccc1)C(C)C,11376822
PLOQNMXGZLQGGV-UBLBMGLWSA-N,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)O)C(=O)[C@H]1O[C@@H]1C(=O)OCc1ccccc1,44286316
UQUMHCZLTMODCA-OKQZFQLDSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)[C@@H](C)O,44286679
FSVSWCZZFVGZHB-ZEWNOJEFSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CCc1ccccc1)C(C)C,44286727
BPYZWOIDEUIMNF-YAEMOEKSSA-N,CCOC(=O)[C@@H]1O[C@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)OCc1ccccc1)C(C)C,44286916
