inchikey,smiles
ZSZXZLXNAMZONT-UFENVRBSSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)CC)[C@@H](C)O
MVFTUTVQNJDZTB-FIRPJDEBSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)OCc1ccccc1)C(C)C
PLOQNMXGZLQGGV-UBLBMGLWSA-N,CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)O)C(=O)[C@H]1O[C@@H]1C(=O)OCc1ccccc1
UQUMHCZLTMODCA-OKQZFQLDSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)[C@@H](C)O
FSVSWCZZFVGZHB-ZEWNOJEFSA-N,CCOC(=O)[C@H]1O[C@@H]1C(=O)N(CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CCc1ccccc1)C(C)C
BPYZWOIDEUIMNF-YAEMOEKSSA-N,CCOC(=O)[C@@H]1O[C@H]1C(=O)N(CC(=O)O)NC(=O)[C@@H](NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)OCc1ccccc1)C(C)C
