inchikey,smiles,cid
COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(Cc1ccccc1)C(=O)O,994
BHHGXPLMPWCGHP-UHFFFAOYSA-N,NCCc1ccccc1,1001
USRGIUJOYOXOQJ-UHFFFAOYSA-N,CC(OP(=O)(O)O)C(N)C(=O)O,1016
XPPKVPWEQAFLFU-UHFFFAOYSA-N,O=P(O)(O)OP(=O)(O)O,1023
IPEHBUMCGVEMRF-UHFFFAOYSA-N,NC(=O)c1cnccn1,1046
NIPZZXUFJPQHNH-UHFFFAOYSA-N,O=C(O)c1cnccn1,1047
NHZMQXZHNVQTQA-UHFFFAOYSA-N,Cc1ncc(CO)c(CN)c1O,1052
XOAAWQZATWQOTB-UHFFFAOYSA-N,NCCS(=O)(=O)O,1123
ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=c1cc[nH]c(=O)[nH]1,1174
XSQUKJJJFZCRTK-UHFFFAOYSA-N,NC(N)=O,1176
NIDRYBLTWYFCFV-UHFFFAOYSA-N,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3O,1201
GSYQNAMOFFWAPF-UHFFFAOYSA-N,C[N+]1([O-])C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,1258
JZUTXVTYJDCMDU-UHFFFAOYSA-N,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,1309
FFBDFADSZUINTG-UHFFFAOYSA-N,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,1329
LFUJIPVWTMGYDG-UHFFFAOYSA-N,O=c1[nH]ccc2c(O)cccc12,1340
RAVIZVQZGXBOQO-UHFFFAOYSA-N,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,1345
CDMZOKMMANFJMU-UHFFFAOYSA-N,C=CCn1c(=O)c2c(nc(-c3ccc(S(=O)(=O)O)cc3)n2C)n(C)c1=O,1365
JCXKHYLLVKZPKE-UHFFFAOYSA-N,Nn1nnc2ccccc21,1367
FWEOQOXTVHGIFQ-UHFFFAOYSA-N,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,1369
DXCUKNQANPLTEJ-UHFFFAOYSA-N,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,1401
ROFVEXUMMXZLPA-UHFFFAOYSA-N,c1ccc(-c2ccccn2)nc1,1474
OVSKIKFHRZPJSS-UHFFFAOYSA-N,O=C(O)COc1ccc(Cl)cc1Cl,1486
KFMJDJOTJHGYCD-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)Nc2cc([N+](=O)[O-])ccc2OC)cc1,1492
UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1493
CFRFHWQYWJMEJN-UHFFFAOYSA-N,Nc1ccc2c(c1)Cc1ccccc1-2,1539
PTOAARAWEBMLNO-UHFFFAOYSA-N,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,1546
KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1ncn[nH]1,1639
SNKZJIOFVMKAOJ-UHFFFAOYSA-N,NCCCS(=O)(=O)O,1646
NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(O)(CC(=O)O)CC(=O)O,1662
SIQPXVQCUCHWDI-UHFFFAOYSA-N,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,1676
WBLZUCOIBUDNBV-UHFFFAOYSA-N,O=C(O)CC[N+](=O)[O-],1678
PUMYFTJOWAJIKF-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,1688
AOJJSUZBOXZQNB-UHFFFAOYSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1691
NUKYPUAOHBNCPY-UHFFFAOYSA-N,Nc1ccncc1,1727
QRMZSPFSDQBLIX-UHFFFAOYSA-N,COc1cc(CC(=O)O)ccc1O,1738
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1775
MGLDCXPLYOWQRP-UHFFFAOYSA-N,CCCCCC#CCC#CCC#CCC#CCCCC(=O)O,1780
QDERNBXNXJCIQK-UHFFFAOYSA-N,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,1795
WTXBRZCVLDTWLP-UHFFFAOYSA-N,O=C(O)c1cc2cc(F)ccc2[nH]1,1820
DUUGKQCEGZLZNO-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccc(O)cc12,1826
ZSTKHSQDNIGFLM-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C)C)c2c1,1832
RZFVLEJOHSLEFR-UHFFFAOYSA-N,O=c1[nH]c2ccccc2c2ccccc12,1853
OMYMRCXOJJZYKE-UHFFFAOYSA-N,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,1864
QCIARNIKNKKHFH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCCl)n(C)c1=O,1882
FURUXTVZLHCCNA-UHFFFAOYSA-N,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,1889
SWAJPHCXKPCPQZ-UHFFFAOYSA-N,O=C1CC(c2ccccc2)Oc2cc(O)ccc21,1890
NWPRCRWQMGIBOT-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,1892
