inchikey,smiles,cid
FWEOQOXTVHGIFQ-UHFFFAOYSA-N,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,1369
DXCUKNQANPLTEJ-UHFFFAOYSA-N,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,1401
ROFVEXUMMXZLPA-UHFFFAOYSA-N,c1ccc(-c2ccccn2)nc1,1474
OVSKIKFHRZPJSS-UHFFFAOYSA-N,O=C(O)COc1ccc(Cl)cc1Cl,1486
KFMJDJOTJHGYCD-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)Nc2cc([N+](=O)[O-])ccc2OC)cc1,1492
UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1493
CFRFHWQYWJMEJN-UHFFFAOYSA-N,Nc1ccc2c(c1)Cc1ccccc1-2,1539
PTOAARAWEBMLNO-UHFFFAOYSA-N,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,1546
KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1ncn[nH]1,1639
SNKZJIOFVMKAOJ-UHFFFAOYSA-N,NCCCS(=O)(=O)O,1646
NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(O)(CC(=O)O)CC(=O)O,1662
SIQPXVQCUCHWDI-UHFFFAOYSA-N,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,1676
WBLZUCOIBUDNBV-UHFFFAOYSA-N,O=C(O)CC[N+](=O)[O-],1678
PUMYFTJOWAJIKF-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,1688
NUKYPUAOHBNCPY-UHFFFAOYSA-N,Nc1ccncc1,1727
QRMZSPFSDQBLIX-UHFFFAOYSA-N,COc1cc(CC(=O)O)ccc1O,1738
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1775
MGLDCXPLYOWQRP-UHFFFAOYSA-N,CCCCCC#CCC#CCC#CCC#CCCCC(=O)O,1780
QDERNBXNXJCIQK-UHFFFAOYSA-N,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,1795
WTXBRZCVLDTWLP-UHFFFAOYSA-N,O=C(O)c1cc2cc(F)ccc2[nH]1,1820
DUUGKQCEGZLZNO-UHFFFAOYSA-N,O=C(O)Cc1c[nH]c2ccc(O)cc12,1826
ZSTKHSQDNIGFLM-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C)C)c2c1,1832
RZFVLEJOHSLEFR-UHFFFAOYSA-N,O=c1[nH]c2ccccc2c2ccccc12,1853
OMYMRCXOJJZYKE-UHFFFAOYSA-N,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,1864
QCIARNIKNKKHFH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCCl)n(C)c1=O,1882
FURUXTVZLHCCNA-UHFFFAOYSA-N,O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,1889
SWAJPHCXKPCPQZ-UHFFFAOYSA-N,O=C1CC(c2ccccc2)Oc2cc(O)ccc21,1890
NWPRCRWQMGIBOT-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,1892
PQCAUHUKTBHUSA-UHFFFAOYSA-N,O=[N+]([O-])c1cccc2cn[nH]c12,1893
SCVHFRLUNIOSGI-UHFFFAOYSA-N,Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O,1917
MCJGNVYPOGVAJF-UHFFFAOYSA-N,Oc1cccc2cccnc12,1923
WDEABJKSGGRCQA-UHFFFAOYSA-N,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,1967
FSQKKOOTNAMONP-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1981
ODFJOVXVLFUVNQ-UHFFFAOYSA-N,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,1985
BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1986
VTNQPKFIQCLBDU-UHFFFAOYSA-N,CCOCN(C(=O)CCl)c1c(C)cccc1CC,1988
RRUDCFGSUDOHDG-UHFFFAOYSA-N,CC(=O)NO,1990
CBQJSKKFNMDLON-UHFFFAOYSA-N,CC(=O)NC(Cc1ccccc1)C(=O)O,2000
DZTHIGRZJZPRDV-UHFFFAOYSA-N,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,2002
QAWIHIJWNYOLBE-UHFFFAOYSA-N,NC(C(=O)O)C1CC(Cl)=NO1,2007
FZEYVTFCMJSGMP-UHFFFAOYSA-N,O=c1c2ccccc2[nH]c2ccccc12,2015
MROJXXOCABQVEF-UHFFFAOYSA-N,CC(=O)Nc1ccc(CC(=O)O)cc1,2018
FQNCLVJEQCJWSU-UHFFFAOYSA-N,Cc1cc2ncc(-c3ccccc3)nc2cc1C,2048
HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,2082
WNMJYKCGWZFFKR-UHFFFAOYSA-N,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,2092
HOVAGTYPODGVJG-UHFFFAOYSA-N,COC1OC(CO)C(O)C(O)C1O,2108
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,CN(C)c1nc(N(C)C)nc(N(C)C)n1,2123
BUZAJRPLUGXRAB-UHFFFAOYSA-N,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1,2125
JBDGDEWWOUBZPM-UHFFFAOYSA-N,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,2132
KZFDKINRISJFCO-UHFFFAOYSA-N,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1N)C2,2143
ROBVIMPUHSLWNV-UHFFFAOYSA-N,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,2145
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2153
NTJOBXMMWNYJFB-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,2159
SGRYPYWGNKJSDL-UHFFFAOYSA-N,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,2161
HTIQEAQVCYTUBX-UHFFFAOYSA-N,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2162
OVCDSSHSILBFBN-UHFFFAOYSA-N,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,2165
QWGDMFLQWFTERH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,2170
LSNWBKACGXCGAJ-UHFFFAOYSA-N,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,2176
