metric,model,frequency_null,note
mean per-indication AUROC,0.6071,0.5,a constant predictor scores 0.5 whatever its top-k accuracy
macro-averaged top-3 recall,0.3995,0.3333,"per-indication mean, so naming only the common conditions cannot carry it"
