smiles,pchembl
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)OC)c1O,9.1
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)OCC(O)CCC)c1O,7.18
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,7.3
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCCC)cc1O,6.9
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc([Si](C)(C)CCCC)cc1O,7.43
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc([Si](C)(C)CCCCCC)cc1O,7.58
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1ccc(C2CC2)c(C(N)=O)c1O,6.25
C=C(C)[C@@H]1CCC(CO)=C[C@H]1c1c(O)cc(C(C)(C)CCCCCC)cc1O,6.17
C=C(C)[C@H]1CCC(C(=O)O)=C[C@@H]1c1c(O)cc(C(C)(C)CCCCCC)cc1O,6.81
C=C(C)[C@H]1CCC(C(=O)O)=C[C@@H]1c1c(O)cc(CCCCC)cc1O,6.5
C=C(C)[C@H]1CCC(C)=CC1c1c(O)cc(CCC)cc1O,7.48
C=C(C)[C@H]1CCC(C)=CC1c1c(O)cc(CCCCC)c(C(=O)OC)c1O,7.39
C=C(C)[C@H]1CCC(C)=CC1c1c(O)cc(CCCCC)c(C(=O)OCC(O)CCC)c1O,9.1
C=C(C)[C@H]1CCC(C)=CC1c1c(O)cc(CCCCC)c(C(=O)OCCO)c1O,7.89
C=C(C)[C@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,7.55
C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(C(C)(C)CCCCCC)cc1O,6.68
C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCC)c(C(=O)OC)c1O,7.55
C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCC)cc1O,7.48
C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)c(C(=O)OCC(O)CCC)c1O,8.075
C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)c(C(=O)OCCO)c1O,7.89
C=C(C)[C@H]1CCC(C)=C[C@@H]1c1c(O)cc(CCCCC)cc1O,6.69
C=C(C)[C@H]1CCC(CO)=C[C@@H]1c1c(O)cc(C(C)(C)CCCCCC)cc1O,7.36
C=C(C)[C@H]1CCC(CO)=C[C@@H]1c1c(O)cc(CCCCC)cc1O,7.0
C=C(C)c1cnc2c(c1)cc(C(=O)N[C@H](C)c1ccc(F)cc1)c(=O)n2Cc1ccc(F)cc1,8.17
C=C(C)c1nc(N2CC[C@H](O)C2)c2nnn(Cc3ccccc3Cl)c2n1,8.44
C=C(CCCCCC)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,8.48
C=C(O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1cc(C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc2c(NC3CCN(S(=O)(=O)C(F)(F)F)CC3)ccnc12,6.13
C=C(c1ccc([C@H](C)NS(C)(=O)=O)cc1)c1ccc(OC(F)(F)F)cc1S(=O)(=O)c1ccccc1F,7.07
C=C(c1ccccc1F)c1cc(Cl)ccc1S(=O)(=O)c1ccc([C@H](C)NS(C)(=O)=O)cc1,6.61
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,6.27
C=C1CC/C=C/CC[C@@H]2[C@@H]1CC2(C)C,6.11
C=C1CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCCC)cc1OC2(C)C,9.24
C=C1CC[C@@H]2[C@@H](C1)c1c(OC)cc(C(C)(C)CCCCCC)cc1OC2(C)C,7.71
C=C1CC[C@@H]2[C@H](c3c(O)cc(CCCCC)cc3OC2(C)C)[C@H]1O,6.89
C=C=CCn1cc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(C)(C)C,7.77
C=CC(C=C)(NC(=O)c1ccc(N2CC(OC)C2)c(OC[C@H]2C[C@@H]2CO)n1)C(=O)OCCCF,6.28
C=CCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(Br)ccc21,8.03
C=CCCCn1cc(C(=O)c2ccc3c(c2)CC(C)(C)C3)c2ccccc21,7.81
C=CCCN1C(=O)/C(=C/NC(C)(C)C)C(=O)c2cccc(C)c21,7.12
C=CCCN1C(=O)/C(=C/NC2CCCCC2)C(=O)c2cccc(C)c21,6.13
C=CCCn1c(=O)n(CC(=O)NC(C)(C)C)c(=O)c2c(C)cccc21,7.33
C=CCCn1c(=O)n(CC(=O)NC(C)(C)C)c(=O)c2cccc(C)c21,7.0
C=CCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(-c3ccco3)ccc21,8.36
C=CCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(Br)ccc21,7.62
C=CCCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccccc3)ccc21,7.75
C=CCN(CC=C)c1nc2n(CCCCC)cc(C(=O)NC34CC5CC(CC(C5)C3)C4)c(=O)n2n1,6.8
C=CCN(Cc1ccc(N(CC)CC)cc1)S(=O)(=O)c1ccc(C)cc1,7.18
C=CCN1Cc2c(n(S(=O)(=O)CC)c3ccc(C(=O)N4CCC(C)CC4)cc23)C1,8.855
C=CCNC(=O)CCCCCCCCCCOc1cc(CCCCC)cc(OC)c1,8.17
