inchikey,smiles,bound,relation,implied_label
DMYKDQWTOSYHLF-UHFFFAOYSA-N,Cc1ncoc1-c1c(-c2cccc(C#N)c2)nc(N)c2nc(C(N)c3ccccc3F)nn12,8.0,<,1
ZDXMHXZUAZEZPY-IBGZPJMESA-N,CN1CC[C@H](NCc2cccc(F)c2Cc2nc3c(N)nc(-c4cccc(C#N)c4F)cn3n2)C1=O,8.0,<,1
YMNGTFKKNDUJJX-UHFFFAOYSA-N,CN1CCC2(CN(Cc3cccc(F)c3Cc3nc4c(N)nc(-c5cccc(C#N)c5F)cn4n3)C2)C1=O,8.0,<,1
IDWHALIDTOQSKI-UHFFFAOYSA-N,Cc1ncoc1-c1c(-c2cccc(C#N)c2F)nc(N)c2nc(Cc3ccccn3)nn12,8.0,<,1
XJWFHGGFVPKHCV-UHFFFAOYSA-N,Cn1cnc(S(=O)(=O)N2CCCC2Cc2nc3c(N)nc(-c4cccc(C#N)c4F)cn3n2)c1,8.0,<,1
DOEJFUVYPPFCDU-UHFFFAOYSA-N,CC(=O)N1CCC(Cc2cccc(F)c2Cc2nc3c(N)nc(-c4cccc(C#N)c4F)cn3n2)CC1,8.0,<,1
CFVWBRAURJJFJF-UHFFFAOYSA-N,CCn1nccc1-c1c(-c2cccc(C#N)c2)nc(N)c2nc(C(O)c3c(F)cccc3F)nn12,8.0,<,1
PLZPCHXKFQBBGL-UHFFFAOYSA-N,Cc1cc(-c2c(-c3cccc(C#N)c3)nc(N)c3nc(C(O)c4c(F)cccc4F)nn23)cc(C)n1,8.0,<,1
PRMJUHAJCHICAM-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3cc(Cc4c[nH]c5cccnc45)nn3c2-c2ccncn2)c1,8.0,<,1
UDNYKTAGBHXHSK-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3nc(C(O)c4c(F)cccc4OC(F)F)nn3c2-c2ccncn2)c1,8.0,<,1
FHOLLJNWHJWWTF-UHFFFAOYSA-N,Cc1n[nH]cc1-c1c(-c2cccc(C#N)c2)nc(N)c2nc(C(O)c3c(F)cccc3F)nn12,8.0,<,1
UIFVDWPNHDVAAJ-UHFFFAOYSA-N,N#Cc1cccc(-c2cn3nc(Cc4c(F)cccc4-c4cnn(Cc5ccccn5)c4)nc3c(N)n2)c1F,8.0,<,1
TUQTWVLTJJRMKG-UHFFFAOYSA-N,Cc1cnccc1-c1c(-c2cccc(C#N)c2)nc(N)c2nc(C(O)c3c(F)cccc3F)nn12,8.0,<,1
ZYFUYHYUQMNZMF-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3nc(C(O)c4c(F)cccc4CN4CCCC4)nn3c2-c2ccncn2)c1,8.0,<,1
GIMKUYRUMNKDAA-IYARVYRRSA-N,CN[C@H]1C[C@H](n2cc(-c3cccc(F)c3Cc3nc4c(N)nc(-c5cccc(C#N)c5F)cn4n3)cn2)C1,8.0,<,1
PFVGZKGGIWQAPR-UHFFFAOYSA-N,N#CCCn1cc(-c2cccc(F)c2Cc2nc3c(N)nc(-c4cccc(C#N)c4F)cn3n2)cn1,8.0,<,1
AFWGTKAMNCJZKH-UHFFFAOYSA-N,N#Cc1cccc(-c2cn3nc(Cc4ncccc4Nc4cnn(C5CCOCC5)c4)nc3c(N)n2)c1F,8.0,<,1
XKVISXMQPFAKHO-UHFFFAOYSA-N,N#Cc1cccc(-c2nc(N)c3nc(C(=O)N4CCC4)nn3c2-c2ccncc2F)c1,8.0,<,1
DWTCDOBGKRPOFB-UHFFFAOYSA-N,Cc1cc(-c2c(-c3cccc(C#N)c3F)nc(N)c3nc(C(O)c4c(F)cccc4F)nn23)cc(C)n1,8.0,<,1
XAVOVGDLJRYSDJ-UHFFFAOYSA-N,N#Cc1cccc(-c2cc3nc(C(O)c4ccccc4)nn3c(N)n2)c1,8.0,<,1
KDNFDMOZLXXPKB-UHFFFAOYSA-N,Cn1cc(-c2cccc(Cc3nc4cc(-c5cccc(C#N)c5)nc(N)n4n3)c2)cn1,8.0,<,1
KLDNRCKZEXOEGE-UHFFFAOYSA-N,N#Cc1cccc(-c2cc3nc(CN4CCCC4=O)nn3c(N)n2)c1,8.0,<,1
OMPFWGGDCMNGFE-UHFFFAOYSA-N,Cn1ccnc1Cc1nc2cc(-c3cccc(C#N)c3)nc(N)n2n1,8.0,<,1
WSOMMSYBUTWANX-UHFFFAOYSA-N,N#Cc1cccc(-c2cc3nc(Cc4ccccc4)cn3c(N)n2)c1,8.0,<,1
HTPGPJGGWYFUOZ-UHFFFAOYSA-N,CCNC(=O)c1cn2c(N)nc(-c3cccc(C#N)c3)cc2n1,8.0,<,1
FXCNVKPKWFPQII-UHFFFAOYSA-N,Cc1c(C#N)cccc1-c1cc2nc(C(O)c3c(F)cccc3F)nn2c(N)n1,8.0,<,1
PSIZASRGFVKTTQ-UHFFFAOYSA-N,N#Cc1cccc(-c2cc3nc(C(O)c4c(F)cccc4F)nn3c(N)n2)c1F,8.0,<,1
QIADLSBSRXWPRF-UHFFFAOYSA-N,CN1CCC2(CN(Cc3cccc(F)c3C(O)c3nc4cc(-c5cccc(C#N)c5F)nc(N)n4n3)C2)C1=O,8.0,<,1
YLLJNDJPLNIZPD-HSTJUUNISA-N,CCN(Cc1cccc(F)c1C(O)c1nc2cc(-c3cccc(C#N)c3F)nc(N)n2n1)[C@H]1CCNC1=O,8.0,<,1
ZKESEKNDFBEDFS-UHFFFAOYSA-N,N#Cc1cccc(-c2cc3nc(Cc4c(F)cccc4CNC4CCN(CC(=O)O)C4=O)nn3c(N)n2)c1F,8.0,<,1
MAFCODZIXCDHTB-GOSISDBHSA-N,N#Cc1cccc(-c2cc3nc(Cc4c(F)cccc4CN[C@@H]4CCOC4=O)nn3c(N)n2)c1F,8.0,<,1
DRXLHQDSFZVZIP-UHFFFAOYSA-N,CCN1CCC(NCc2cccc(F)c2Cc2nc3cc(-c4cccc(C#N)c4F)nc(N)n3n2)C1=O,8.0,<,1
RHSWUTCJDPQLBH-SFHVURJKSA-N,CC(=O)N[C@H]1CCN(Cc2cccc(F)c2Cc2nc3cc(-c4cccc(C#N)c4F)nc(N)n3n2)C1,8.0,<,1
HJZFMLVQSZNGOW-FQEVSTJZSA-N,N#Cc1cccc(-c2cc3nc(Cc4c(F)cccc4CN4CCC[C@H]4c4nn[nH]n4)nn3c(N)n2)c1F,8.0,<,1
XLWOTTNNOSTKMN-UHFFFAOYSA-N,CCN(Cc1cccc(F)c1Cc1nc2cc(-c3cccc(C#N)c3F)nc(N)n2n1)C1CCN(CC(=O)O)C1=O,8.0,<,1
PBNMPDUHMCRZQD-UHFFFAOYSA-N,CCN(Cc1cccc(F)c1Cc1nc2cc(-c3cccc(C#N)c3F)nc(N)n2n1)C1CCN(C)C1=O,8.0,<,1
XNXDGHNYFIGORI-OAQYLSRUSA-N,CCN(Cc1cccc(F)c1Cc1nc2cc(-c3cccc(C#N)c3F)nc(N)n2n1)[C@@H]1CCNC1=O,8.0,<,1
PPXFMBQTAKGEED-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(Cc4cncc(Cl)c4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
ZAMIFUZMNHCMQI-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(Cc4cnc5cccnc5c4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
UKZQZRGMIRLPES-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(Cc4cnc5cnn(C)c5c4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
KFDMKXSLNHQIQV-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(Cc4cccnc4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
YZQSWAUYRGBFAQ-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(Cc4cncc(F)c4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
JDUBUYSVDPBKAB-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(Cc4cnc5cccnc5c4)c3)[nH]c2c(=O)n2c(C(F)(F)F)nnc12,8.0,<,1
VUKOAIAQSFKXSY-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(C4CN(c5ncccn5)C4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
RWOCZEWAQJPIRI-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(C4CN(c5nccc(NC)n5)C4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
IXBDIYIIIVPPMH-UHFFFAOYSA-N,CCCCn1c2cc(-c3cnn(C4CN(c5ncccn5)C4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
JXRSALRHVZZLLZ-UHFFFAOYSA-N,CCCCn1c2cc(-c3cnn(C4CN(c5nccc(C#N)n5)C4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
JGFGBQRBDRWNKN-UHFFFAOYSA-N,CCCCn1c2cc(-c3cnn(C4CN(c5nccc(C)n5)C4)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
DQOFSENRPRRZPD-UHFFFAOYSA-N,CCCCCn1c2cc(-c3cnn(Cc4ccc5c(c4)CCN(C(=O)CN(C)C)C5)c3)[nH]c2c(=O)n2c(C)nnc12,8.0,<,1
CIKQTJPBYUHIAB-UHFFFAOYSA-N,O=C(NCc1cncnc1)c1nc(NCc2cncnc2)nc2ccsc12,6.301029995663981,>,-1
QEKDPKOYONGVOE-UHFFFAOYSA-N,O=C(c1nc(NCc2cncnc2)nc2ccsc12)N1CCCC1,6.301029995663981,>,-1
NKTDYAZSHQPEAG-UHFFFAOYSA-N,O=C(NCc1cncc(F)c1)c1nc(NCc2cncc(F)c2)nc2ccsc12,6.301029995663981,>,-1
PVAHNKIPLRLTJE-UHFFFAOYSA-N,CN(C(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12)C1CCC(C)(C)C1,6.301029995663981,>,-1
ZPBMNWGAHRZMMO-MBIQTGHCSA-N,CCC(NC(=O)c1nc(N[C@@H](C)c2cccnc2)nc2ccsc12)c1cccnc1,6.301029995663981,>,-1
NNWCDNPXRMFNJU-AAEUAGOBSA-N,C[C@H](Nc1nc(C(=O)N2CC[C@H](O)C2)c2sccc2n1)c1cccnc1,6.301029995663981,>,-1
NNWCDNPXRMFNJU-WCQYABFASA-N,C[C@H](Nc1nc(C(=O)N2CC[C@@H](O)C2)c2sccc2n1)c1cccnc1,6.301029995663981,>,-1
LXBJVUCPAAAXCH-UHFFFAOYSA-N,O=C(NCc1cccnn1)c1nc(NCc2cccnn2)nc2ccsc12,6.301029995663981,>,-1
MQHUNEVCEYNLCY-UHFFFAOYSA-N,COc1ccc(CNc2nc(C(=O)N3CCCC3)c3sccc3n2)cc1OC,6.301029995663981,>,-1
QSEJYFBUZUKFTO-UHFFFAOYSA-N,CC(NC(=O)c1nc(NC(C)c2cccnc2)nc2ccsc12)c1cccnc1,6.301029995663981,>,-1
YSUMEAKFKIJIOL-UHFFFAOYSA-N,Cc1cncc(CNC(=O)c2nc(NCc3cncc(C)c3)nc3ccsc23)c1,6.301029995663981,>,-1
OSSVADHKTZZYJU-UHFFFAOYSA-N,Cc1cncc(CNc2nc(C(=O)N3CCCC3)c3sccc3n2)c1,6.301029995663981,>,-1
MEIFHZUUTWMTSW-UHFFFAOYSA-N,Cc1cncc(CNc2nc(C(=O)N3CCC3)c3sccc3n2)c1,6.301029995663981,>,-1
UWBBAKLSYHREQQ-LBPRGKRZSA-N,COc1ccc(NC(=O)c2nc(N[C@@H](C)c3ccccn3)nc3ccsc23)cn1,6.301029995663981,>,-1
PEICJTLOWJIGHO-FQEVSTJZSA-N,C[C@H](Nc1nc(C(=O)N2CCN(CCCc3ccccc3)CC2)c2sccc2n1)c1cccnc1,6.301029995663981,>,-1
