inchikey,smiles,bound,relation,implied_label
GNYXJFDSZWNBKT-UHFFFAOYSA-N,c1ccc(-c2ccccc2OC(c2ccccn2)C2CCNCC2)cc1,6.3979400086720375,>,-1
UYZAXUWVJGHEFL-UHFFFAOYSA-N,CC(C(=O)c1cccc(Cl)c1)N(C)C,7.0,>,-1
BJLKZFUZNNATGZ-UHFFFAOYSA-N,CC(C(=O)c1cccc(Cl)c1)N(C)C(C)(C)C,7.0,>,-1
CCGVLNAUEKVICK-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(F)c1,7.0,>,-1
LOWDJVQAZMFOLZ-UHFFFAOYSA-N,CC(C(=O)c1cccc(Cl)c1)N1CCCCC1,7.0,>,-1
GIDJZDYNVHMFAH-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Br)c1,7.0,>,-1
SYMAJWVHHBJSJV-UHFFFAOYSA-N,CC(CNC(C)(C)C)C(=O)c1cccc(Cl)c1,7.0,>,-1
ZKFFJBXJJFDBJM-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cc(Cl)cc(Cl)c1,7.0,>,-1
JRPWUGPYWRJACU-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1ccc(F)c(F)c1,7.0,>,-1
CFVHNYYHCCJXDK-UHFFFAOYSA-N,CC(NC1CCCC1)C(=O)c1cccc(F)c1,7.0,>,-1
ZZWUEOYQVWAKCJ-UHFFFAOYSA-N,CC(NC1CCCC1)C(=O)c1cccc(Br)c1,7.0,>,-1
VLLKJTHFWNJPCE-UHFFFAOYSA-N,Cc1cccc(C(=O)C(C)NC2CCCC2)c1,7.0,>,-1
DNVMLFGJFSQQDE-UHFFFAOYSA-N,CC(C(=O)c1cccc(Br)c1)N1CCCCC1,7.0,>,-1
VMEDIUSDIYRUSA-UHFFFAOYSA-N,Cc1cccc(C(=O)C(C)N2CCCCC2)c1,7.0,>,-1
DDDMGCMKOCLAAT-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc([N+](=O)[O-])c1,7.0,>,-1
LBBBRPSDINTRFT-UHFFFAOYSA-N,CNCCN(c1ccccc1)c1ccc(OCCN2CCCC2)cc1,7.154901959985743,>,-1
QVLGCILLMAUJBI-UHFFFAOYSA-N,NCC1(c2cccs2)CCCCC1,8.0,>,-1
UTQLEVQLADDVHS-UHFFFAOYSA-N,CN(C)CC1(c2cccc3ccccc23)CCCCC1,9.0,<,1
DIOWQSMFSBKMCS-UHFFFAOYSA-N,CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,9.0,<,1
AVDWBSJHFJGZCW-UHFFFAOYSA-N,CCCCc1sc(C2CCN(Cc3c[nH]c4ccc(C#N)cc34)CC2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,7.0,>,-1
MIOFFYRKIMGZKM-UHFFFAOYSA-N,Cc1sc(C2CCN(CCCCc3cn(C)c4ccc(C#N)cc34)CC2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,7.0,>,-1
RGMQTGAIHQQMRX-UHFFFAOYSA-N,CCn1cc(CCCCN2CCC(c3nc(-c4ccc(Oc5ccc(Cl)cc5)cc4)c(C)s3)CC2)c2cc(C#N)ccc21,7.0,>,-1
GAPUGWGLQCHKNL-UHFFFAOYSA-N,CCCCc1sc(C2CCN(CCCCc3cn(CCC)c4ccc(C#N)cc34)CC2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,7.0,>,-1
IRBINRUCHSCKJF-UHFFFAOYSA-N,CCCCc1sc(C2CCN(Cc3cn(C)c4ccc(C#N)cc34)CC2)nc1-c1ccc(Oc2ccc(Cl)cc2)cc1,7.0,>,-1
NSTCHFNFLIONCS-UHFFFAOYSA-N,CCCCc1nc(C2CCN(CCc3c[nH]c4ccc(C#N)cc34)CC2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,7.0,>,-1
MIAWLKZKMAUOLH-UHFFFAOYSA-N,CCCCCc1nc(C2CCN(CCCCc3cn(C(C)C)c4ccc(C#N)cc34)CC2)cn1-c1ccc(Oc2ccc(Cl)cc2)cc1,7.0,>,-1
CEYLEPIYQKZIHM-UHFFFAOYSA-N,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ncc(-c5ccc(F)cc5)cn4)CC3)c2c1,8.698970004336019,<,1
BQJZWSROVWLUTG-UHFFFAOYSA-N,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ncc(-c5ccc(C(N)=O)cc5)cn4)CC3)c2c1,8.698970004336019,<,1
SFMSUVLOUUEACH-UHFFFAOYSA-N,COc1cc(F)ccc1-c1cnc(N2CCN(CCCCc3c[nH]c4ccc(C#N)cc34)CC2)nc1,8.698970004336019,<,1
