# WHAT THIS FILE CONTAINS: Every one of 161,812 distinct training structures as a row, with the 12 named physicochemical descriptors as columns and a count of how many of the 1024 fingerprint bits it sets. 2 structures could not be parsed by RDKit and are absent.
# WHAT IT IS USED FOR: Seeing the chemical space the models were fitted over, at a width that opens in a spreadsheet.
# GENERATED FROM: data/endpoints/ featurised by src/brainsafe/features/featurize.py
smiles,ecfp4_bits_set,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,ring_count,heavy_atoms,formal_charge,qed
Br.Br.c1ncc(CC2CCNCC2)[nH]1,27,165.24,0.9518,40.71,2.0,2.0,2.0,1.0,0.6666667,2.0,12.0,0.0,0.68474156
Br.C(CCCCCCNC1=NCCN1)CCCCCNC1=NCCN1,23,336.528,1.985,72.84,4.0,6.0,13.0,0.0,0.8888889,2.0,24.0,0.0,0.38817865
Br.C1C[S+]2CCC(CC2)N1.[Br-],17,144.263,0.3703,12.03,1.0,1.0,0.0,0.0,1.0,3.0,9.0,1.0,0.48437515
Br.C=CCN(C)CC[C@@]12CCCC[C@@H]1C=Cc1ccc(OC)cc12,52,311.469,4.6579,12.47,0.0,2.0,6.0,1.0,0.52380955,3.0,23.0,0.0,0.70860785
Br.CC(C)(C)N/C(=N/C1CCCC1)SCCCc1c[nH]cn1,46,308.495,3.7622,53.07,2.0,3.0,5.0,1.0,0.75,2.0,21.0,0.0,0.49452254
Br.CC(C1CC1)N1CCC(C2CCc3ccccc3C2=O)CC1,38,297.442,3.9422,20.31,0.0,2.0,3.0,1.0,0.65,4.0,22.0,0.0,0.84193444
Br.CCCCCCCCn1c2c(c(=N)c3ccccc31)CCC2,39,296.458,4.96997,28.78,1.0,1.0,7.0,2.0,0.55,3.0,22.0,0.0,0.6989339
Br.CCCCN/C(=N/C1CCCC1)SCCCc1c[nH]cn1,48,308.495,3.7638,53.07,2.0,3.0,8.0,1.0,0.75,2.0,21.0,0.0,0.43657976
Br.CCCCN/C(=N/Cc1ccc(Cl)c(Cl)c1)SCCCc1c[nH]cn1,53,399.391,5.3282,53.07,2.0,3.0,9.0,2.0,0.44444445,2.0,25.0,0.0,0.34053907
Br.CCCCN/C(=N/Cc1ccc(Cl)cc1)SCCCc1c[nH]cn1,51,364.946,4.6748,53.07,2.0,3.0,9.0,2.0,0.44444445,2.0,24.0,0.0,0.38577035
Br.CCCN(CCC)C1CCc2ccc(O)cc2C1,34,247.382,3.3715,23.47,1.0,2.0,5.0,1.0,0.625,2.0,18.0,0.0,0.86202174
Br.CCCN(CCC)[C@@H]1Cc2cccc3nc(O)n(c23)C1,41,273.38,2.7886,41.29,1.0,3.0,5.0,2.0,0.5625,3.0,20.0,0.0,0.9104678
Br.CCCN1C[C@H](c2ccc(O)cc2)C[C@@H]2c3cc(O)c(O)cc3CC[C@H]21,45,353.462,4.1013,63.93,3.0,4.0,3.0,2.0,0.45454547,4.0,26.0,0.0,0.7270631
Br.CN(C)C1Cc2cc(O)c(O)cc2C(c2ccccc2)C1,35,283.371,3.1061,43.7,2.0,3.0,2.0,2.0,0.33333334,3.0,21.0,0.0,0.83235973
Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,39,332.241,3.7745,23.47,1.0,2.0,1.0,2.0,0.29411766,3.0,20.0,0.0,0.8592005
Br.CN1CCc2ccccc2Cc2ccc(O)cc2CC1,29,267.372,3.0134,23.47,1.0,2.0,0.0,2.0,0.33333334,3.0,20.0,0.0,0.7928868
Br.CNc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,59,381.545,3.5836,48.39,2.0,5.0,3.0,2.0,0.59090906,6.0,27.0,0.0,0.85314745
Br.COCCN(C)CC[C@@]12CCCC[C@@H]1C=Cc1ccc(OC)cc12,50,329.484,4.1183,21.7,0.0,3.0,7.0,1.0,0.61904764,3.0,24.0,0.0,0.7509908
Br.COc1ccc2c(c1)[C@]1(CCN(C)CC(=O)OC(C)(C)C)CCCC[C@@H]1C=C2,58,385.548,4.8136,38.77,0.0,4.0,6.0,1.0,0.625,3.0,28.0,0.0,0.6586515
Br.COc1ccc2c(c1)[C@]1(CCN(C)CCOCc3ccccc3)CCCC[C@@H]1C=C2,58,405.582,5.6887,21.7,0.0,3.0,9.0,2.0,0.4814815,4.0,30.0,0.0,0.5004278
Br.CSc1nc2ccccc2n1-c1csc(=N)n1CC(=O)c1ccccc1,48,380.498,3.97277,63.67,1.0,5.0,5.0,4.0,0.10526316,4.0,26.0,0.0,0.42080256
Br.Cc1cc(-c2ccccc2)nn(Cc2cc(O)no2)c1=N,41,282.303,2.07989,87.93,2.0,5.0,3.0,3.0,0.13333334,3.0,21.0,0.0,0.7694836
Br.Cc1ccc(-c2nn(CCCCCCCCCCCCn3nc(-c4ccc(C)cc4)sc3=N)c(=N)s2)cc1,30,548.826,7.71358,83.34,2.0,6.0,15.0,4.0,0.46666667,4.0,38.0,0.0,0.14911541
Br.Cc1ccccc1C(c1ccccc1)N1CCC(O)(c2ccccc2)CC1,36,357.497,5.06802,23.47,1.0,2.0,4.0,3.0,0.28,4.0,27.0,0.0,0.7047037
Br.Clc1ccc(C/N=C(/NC2CCCCC2)SCCCc2c[nH]cn2)cc1Cl,54,425.429,5.8608,53.07,2.0,3.0,7.0,2.0,0.5,3.0,27.0,0.0,0.33188593
Br.Clc1ccc(C/N=C(/NCc2ccccc2)SCCCc2c[nH]cn2)cc1,51,398.963,5.0749,53.07,2.0,3.0,8.0,3.0,0.23809524,3.0,27.0,0.0,0.31597802
Br.Clc1ccc(C/N=C(/NCc2ccccc2)SCCCc2c[nH]cn2)cc1Cl,53,433.408,5.7283,53.07,2.0,3.0,8.0,3.0,0.23809524,3.0,28.0,0.0,0.2711142
Br.Clc1ccc(CCN2CCCC2)cc1Cl,27,244.165,3.6317,3.24,0.0,1.0,3.0,1.0,0.5,2.0,15.0,0.0,0.7842564
Br.N#Cc1ccc(C/N=C(/NC2CCCCC2)SCCCc2c[nH]cn2)cc1,55,381.549,4.42568,76.86,2.0,4.0,7.0,2.0,0.47619048,3.0,27.0,0.0,0.42259222
Br.N=C(N)NCCSC(=N)N,19,161.234,-0.90386,111.77,5.0,3.0,3.0,0.0,0.5,0.0,10.0,0.0,0.20955218
Br.N=C(NC1CC2CCC1C2)NC1CC2CCC1C2,21,247.386,2.47757,47.91,3.0,1.0,2.0,0.0,0.93333334,4.0,18.0,0.0,0.51842785
